logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -2.636146500788072444e+03 -2.642139215074763797e+03 1.650000000000000078e-01
-2.642139215074763797e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -2.514990793248446607e+03 -2.520986007535138015e+03 4.949999999999999956e-01
-2.520986007535138015e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -2.285832026446131749e+03 -2.291829740732823211e+03 1.004999999999999893e+00
-2.291829740732823211e+03 1.408957185443652236e+02 -7.499999999999999722e-03 4.000000000000000000e+02 -2.203149866793241472e+03 -2.209150081079932988e+03 5.749999999999999556e-01
-2.209150081079932988e+03 8.828031991131699385e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -2.196695274451224122e+03 -2.202697988737915239e+03 1.129999999999999893e+00
-2.202696412761785268e+03 2.457115300669405755e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -2.151026398935648103e+03 -2.157031613222339274e+03 1.139999999999999902e+00
-2.157031613222339274e+03 2.259333856274756513e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -2.117676775102494503e+03 -2.123684489389185728e+03 8.249999999999999556e-01
-2.123684489389185728e+03 2.370583659980812641e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -2.109541924054115498e+03 -2.115552138340806778e+03 1.280000000000000027e+00
-2.115551844507509941e+03 2.450883540844780129e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -2.040976660830900073e+03 -2.046989375117591408e+03 8.299999999999999600e-01
-2.046989375117591408e+03 5.161334462941461965e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -2.026196293891930736e+03 -2.032211508178622125e+03 1.254999999999999893e+00
-2.032211507796630485e+03 3.753258726964758552e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -2.023682446491322480e+03 -2.029700160778013696e+03 1.425000000000000044e+00
-2.029622127309258303e+03 2.611584289848027751e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -2.014073419821964762e+03 -2.020093634108656033e+03 1.649999999999999911e+00
-2.020093561362142282e+03 5.162591453245799933e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -1.976194017551730667e+03 -1.982216731838421993e+03 1.264999999999999902e+00
-1.982216731838421993e+03 2.073986416206915351e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.956250935858852472e+03 -1.962276150145543852e+03 4.299999999999999933e-01
-1.962276150143356517e+03 2.560963625912258479e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.930751717515121982e+03 -1.936779431801813189e+03 6.750000000000000444e-01
-1.936779431801804776e+03 3.258851377570593399e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.924616591440614229e+03 -1.930646805727305491e+03 6.400000000000000133e-01
-1.930644637207649112e+03 2.827995065363497673e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -1.921661219036714783e+03 -1.927693933323406100e+03 1.950000000000000067e-01
-1.927642952343857587e+03 1.642863579582656497e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -1.918781950845357869e+03 -1.924817165132049240e+03 1.024999999999999911e+00
-1.924759592705349405e+03 1.874880715039403567e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -1.916025354268939054e+03 -1.922063068555630480e+03 9.300000000000000488e-01
-1.921997805751083433e+03 1.703333528641640005e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -1.915595071694674516e+03 -1.921635285981365769e+03 1.804999999999999938e+00
-1.921107060287434251e+03 1.711911066066911236e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -1.915571515609989092e+03 -1.921614229896680399e+03 1.745000000000000107e+00
-1.920635684085887078e+03 1.684086508838332330e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -1.912471219933776638e+03 -1.918516434220468000e+03 3.599999999999999867e-01
-1.918402996878415934e+03 1.891836819077088228e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -1.868074359743105333e+03 -1.874122074029796750e+03 1.780000000000000027e+00
-1.874122074029796750e+03 2.203629786932714651e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -1.866170717285000137e+03 -1.872220931571691381e+03 1.129999999999999893e+00
-1.872081693383048332e+03 1.348753428907633989e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -1.860852813046591564e+03 -1.866905527333282862e+03 1.975000000000000089e+00
-1.866899893607233480e+03 3.335811180048115165e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -1.843348207059473907e+03 -1.849403421346165260e+03 1.169999999999999929e+00
-1.849403421320966572e+03 1.049602964139894645e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -1.841117597027658803e+03 -1.847175311314350211e+03 1.770000000000000018e+00
-1.847072996767654104e+03 6.800582033778528768e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -1.837996848245372803e+03 -1.844057062532064037e+03 9.300000000000000488e-01
