weight logl amplitude offset frequency phase
0.000000000000000000e+00 -2.636146500788072444e+03 9.536174066268251481e-01 5.032642168563300489e-01 4.375273975004516647e-01 8.587648242908553220e-01
0.000000000000000000e+00 -2.514990793248446607e+03 9.413470090625187803e-01 8.788007316306455374e-01 4.004668055046990416e-01 8.665890719752172844e-01
0.000000000000000000e+00 -2.285832026446131749e+03 9.382174386137736022e-01 3.595458662996268151e-01 4.018208243645544631e-01 8.105547789753007049e-01
0.000000000000000000e+00 -2.203149866793241472e+03 9.519708878702523025e-01 1.556828882434957428e-01 7.521827255296265058e-02 6.731604559090731410e-01
0.000000000000000000e+00 -2.196695274451224122e+03 9.813521660191073526e-01 7.788464664866380227e-01 6.182230494686433708e-01 3.658664117184942111e-01
0.000000000000000000e+00 -2.151026398935648103e+03 9.525158607548386280e-01 2.056323732806152327e-01 6.293839855290368490e-01 2.713208525079056077e-01
0.000000000000000000e+00 -2.117676775102494503e+03 9.793502339329057671e-01 9.882033107108101344e-01 2.881335897694782266e-01 1.182710564723634672e-01
0.000000000000000000e+00 -2.109541924054115498e+03 7.464100390809849106e-01 2.249930034588343286e-01 4.273753465460445877e-01 7.980886898511934113e-01
0.000000000000000000e+00 -2.040976660830900073e+03 8.807358440180330650e-01 5.022047652651101535e-01 4.527328360174337485e-01 9.001046649838370106e-01
0.000000000000000000e+00 -2.026196293891930736e+03 6.988711975667162291e-01 2.316353695907102939e-03 5.473802111530884362e-01 6.732048089165429960e-01
0.000000000000000000e+00 -2.023682446491322480e+03 8.907750022359869346e-01 1.345617254861219969e-02 9.008132896154070757e-01 1.613873537454265650e-01
0.000000000000000000e+00 -2.014073419821964762e+03 8.933486050087069419e-01 1.555261569824506473e-02 8.417162723375265498e-01 3.358369363302373678e-01
0.000000000000000000e+00 -1.976194017551730667e+03 8.823522645933459252e-01 1.029561052785499253e-02 8.393054217101656445e-01 1.112717734568611228e-01
0.000000000000000000e+00 -1.956250935858852472e+03 9.005892569859655916e-01 5.974312991791839167e-01 3.850202601279849590e-01 9.823070202492698577e-01
0.000000000000000000e+00 -1.930751717515121982e+03 9.471204702444775414e-01 6.923523226707429812e-01 6.356806676746208362e-01 2.967796747116626666e-01
0.000000000000000000e+00 -1.924616591440614229e+03 8.291105035484200858e-01 7.909408289972396089e-01 4.803456294706944796e-01 8.240895661018288187e-01
0.000000000000000000e+00 -1.921661219036714783e+03 9.467659194376009113e-01 1.626957094132014392e-01 6.445510436371326701e-02 7.815948688345066842e-01
0.000000000000000000e+00 -1.918781950845357869e+03 8.408345875383529400e-01 8.588456583319825643e-02 8.792322499745219844e-01 4.572369710945339838e-01
0.000000000000000000e+00 -1.916025354268939054e+03 9.481911563615244010e-01 6.819717521332787635e-01 2.925423908917079707e-02 6.184024075101690610e-01
0.000000000000000000e+00 -1.915595071694674516e+03 9.803642500060228970e-01 2.333132921296673379e-01 8.401714277843229661e-01 3.721507724102832704e-01
0.000000000000000000e+00 -1.915571515609989092e+03 7.486108710898856655e-01 1.264068591824762944e-02 9.889234747590101016e-01 6.741523869214912645e-01
0.000000000000000000e+00 -1.912471219933776638e+03 9.019735417363594632e-01 9.306613941166171911e-01 7.404145315063223043e-01 6.638714362661246593e-01
0.000000000000000000e+00 -1.868074359743105333e+03 9.970663954513760974e-01 3.698704378582019503e-01 8.921765567574794220e-01 4.749840642368526877e-01
0.000000000000000000e+00 -1.866170717285000137e+03 9.571012767464226467e-01 8.396299232295412196e-01 2.943565466822387622e-01 1.720272572788393850e-01
0.000000000000000000e+00 -1.860852813046591564e+03 9.328727679033537168e-01 3.515970069540328424e-01 2.252716272854874413e-01 7.165320100328310682e-01
0.000000000000000000e+00 -1.843348207059473907e+03 9.064632558682477192e-01 8.373287079682402156e-01 8.237915136789730752e-02 7.770257878279076547e-01
0.000000000000000000e+00 -1.841117597027658803e+03 9.620341648989361172e-01 1.723580179105407284e-01 7.588582976249332868e-01 9.488308601364601191e-01
0.000000000000000000e+00 -1.837996848245372803e+03 7.078122374586456322e-01 3.223230981521777450e-01 5.329457155733494655e-01 4.602105071412223580e-01
0.000000000000000000e+00 -1.830641251500152748e+03 9.543619417790011328e-01 3.313130001735588026e-01 3.182102291369068858e-01 8.227135310097551946e-01
0.000000000000000000e+00 -1.823165280376467308e+03 7.718088006709130644e-01 3.058334577813348609e-02 8.930449997422580388e-01 5.116070601091105008e-01
0.000000000000000000e+00 -1.809416008390873230e+03 8.068419867435010495e-01 1.328344519223717546e-01 6.023087224168700571e-01 1.632695932715936271e-01
0.000000000000000000e+00 -1.801023808289441149e+03 8.899061200458122656e-01 5.228980469051447422e-02 8.644873887171190541e-01 1.096830580485854689e-01
0.000000000000000000e+00 -1.798908487093698568e+03 9.174370487952142605e-01 9.181635747790866109e-01 9.052741252928450111e-01 9.184832147371798650e-01
0.000000000000000000e+00 -1.798305110829140858e+03 9.773092037879401728e-01 5.332084478846760289e-01 8.540875173231731177e-01 8.675870097080955468e-01
0.000000000000000000e+00 -1.793934271225342854e+03 8.635373455274856225e-01 1.400061477151978151e-01 6.815279255593854613e-01 9.256361280471578912e-01
0.000000000000000000e+00 -1.783315903195426472e+03 7.613332997110101585e-01 2.798120936023806848e-02 4.250093879419902798e-01 6.799322692729803386e-02
0.000000000000000000e+00 -1.776452161786173519e+03 9.655701837008389132e-01 5.399857099135311200e-01 2.993268349184193822e-01 8.400592460340978729e-01
0.000000000000000000e+00 -1.774199899328668607e+03 9.486835555426121891e-01 5.633350529270328977e-01 9.795980049138046653e-01 3.257346050964725626e-01
0.000000000000000000e+00 -1.757961458942217405e+03 8.572168337571072216e-01 3.911048280703512958e-01 1.051812434861116863e-01 6.256783795228486600e-01
0.000000000000000000e+00 -1.756637338381273366e+03 8.990739649638658237e-01 9.202544883237211426e-01 9.062019014402407091e-01 3.166697044707391662e-01
0.000000000000000000e+00 -1.750065433087553629e+03 9.241505824722713314e-01 5.646104867454081466e-01 1.920063130403384388e-01 8.583302388306346398e-02
0.000000000000000000e+00 -1.746305433996755710e+03 6.934610091570572177e-01 7.329112349354076628e-01 4.411768258822958977e-01 7.391688370117668327e-01
0.000000000000000000e+00 -1.739772416975044280e+03 9.782842902632588045e-01 7.548633607019742398e-01 9.666631993992851335e-01 6.380707336815780728e-01
0.000000000000000000e+00 -1.730215463120287041e+03 9.274673661869836661e-01 2.546342078644471263e-01 7.720278079211975175e-01 8.477654817126023534e-01
0.000000000000000000e+00 -1.729892330017959239e+03 6.879607862548785535e-01 1.460435624727196569e-04 7.618588903613797703e-01 3.292112298322701358e-01
0.000000000000000000e+00 -1.716954785174814333e+03 8.877006242552575310e-01 9.590076253740411616e-01 9.115799091348566474e-01 3.803891514490034265e-01
0.000000000000000000e+00 -1.709494603075462464e+03 9.154102717887969698e-01 7.883683939504241289e-01 6.843615035424115423e-01 7.615623729125005070e-01
0.000000000000000000e+00 -1.705290327276581593e+03 7.519480765112009912e-01 2.813104419312784099e-02 6.476976684075762547e-01 7.707181352771885763e-02
0.000000000000000000e+00 -1.695314478778977445e+03 9.820565887743029077e-01 3.462020193406966095e-01 9.064443043076326756e-01 6.610225521694146344e-02
