amplitude offset frequency phase
1.850409131567664289e+00 2.197569096362448349e-01 3.221377994538350276e+00 9.124694615035459089e-01
1.830992011753709514e+00 1.125864544773182985e-01 3.142210992748770249e+00 1.132497873070248406e+00
1.688972097938385541e+00 2.162529104236252664e-01 3.174915037166694542e+00 1.009100488143997998e+00
1.830100311578858552e+00 8.011025266242954856e-02 3.194384701699568119e+00 9.315575705236422976e-01
1.670113427705460785e+00 8.901219252084180411e-02 3.229649577059884091e+00 8.460244875088643868e-01
1.873409261995825137e+00 1.339700914157750944e-01 3.227063771291417638e+00 8.499030256953640228e-01
1.734973349517210384e+00 8.007054705014260421e-02 3.188633890890125500e+00 9.211360737507402474e-01
1.857581885390634513e+00 1.111989356982006072e-01 3.205231279614336515e+00 8.880558503601945208e-01
1.813353688959743470e+00 1.472933185650622256e-01 3.214775017906271959e+00 8.882206729648386423e-01
1.879241465077259088e+00 4.760272805490339820e-02 3.229285563183576180e+00 8.670043053228192464e-01
1.737660784535318914e+00 1.221788920289288427e-01 3.215373590686424699e+00 9.299830205735296618e-01
1.753152724238077997e+00 1.616901790896774216e-01 3.230713212073656138e+00 7.952849706902022087e-01
1.799892211109528795e+00 1.101473157431676064e-01 3.217359552736561046e+00 7.592014133600152315e-01
1.656596075738515639e+00 6.068565719019458626e-02 3.222740858033754652e+00 8.300817631907080330e-01
1.834437323159881172e+00 1.605781628414324480e-01 3.226333848448884822e+00 8.264274021106439161e-01
1.812478127375995562e+00 1.167766305985171726e-01 3.250345655330163286e+00 8.150198995220501175e-01
1.887305819538594776e+00 5.169193980596498150e-02 3.212309553210256130e+00 9.028988813531536595e-01
1.875796957021926614e+00 1.232347645221811838e-01 3.247653031893968034e+00 7.832584841118035435e-01
1.856424914415135463e+00 1.462272685913728054e-01 3.201565343716454404e+00 9.818686826352240882e-01
1.843121475370804507e+00 3.267409163532963845e-02 3.216544318482495779e+00 8.189002289211400054e-01
1.855351369324760524e+00 1.552706836293289427e-01 3.243566518464759074e+00 7.960562876144452460e-01
1.837517200783794102e+00 7.500473185172262802e-02 3.221510118538483791e+00 7.802266072034574895e-01
1.691162340220523363e+00 3.327449847237629044e-02 3.190275695201597816e+00 9.454633275286924432e-01
1.858816278499223262e+00 8.583630479906867450e-02 3.164020881314058897e+00 1.022125544316290657e+00
2.033737380605768585e+00 1.284349230882471105e-01 3.220033104012516301e+00 9.037202304544920128e-01
1.726962109458856531e+00 7.382023132216497530e-02 3.209671260117758607e+00 8.552899304299473870e-01
1.939173356353203204e+00 2.794837676432391227e-01 3.179758652846625733e+00 9.643523902958561766e-01
1.723968249407415776e+00 6.236468883075696468e-02 3.182541105416607508e+00 9.142317017031301729e-01
1.898537774310246729e+00 1.568478752504516294e-01 3.169250393939137211e+00 1.080991159593555739e+00
1.756915943754556730e+00 9.772566172066765589e-02 3.271783711656220284e+00 6.461152710117016307e-01
1.863909283679125117e+00 1.411450773833835548e-01 3.201134754527857673e+00 8.605368365066867753e-01
1.766874405556551064e+00 2.500574255289409464e-01 3.233345380213349607e+00 8.273988401607819121e-01
1.898078110564005661e+00 1.327612633798453956e-01 3.194687089596552454e+00 9.281697402969070199e-01
1.863571218177261235e+00 1.147063526145237766e-01 3.218034649500806310e+00 8.314179258137170958e-01
1.823145408965678449e+00 4.489460953776047702e-02 3.197788947052320641e+00 9.854441676294520835e-01
1.929347046075892802e+00 1.527361132204592131e-01 3.222280236540902454e+00 9.384596270221451375e-01
1.773972251437661019e+00 1.468447136513439943e-01 3.203819719856490611e+00 8.437987472047371318e-01
1.854434616325226548e+00 1.166673607607320307e-01 3.212791390339009734e+00 8.482216385000956871e-01
1.861507042869683382e+00 1.333146428080747015e-01 3.234932267702839592e+00 7.854440370309676567e-01
1.903701863786797066e+00 3.556647789657052527e-02 3.190877637916035958e+00 9.635986861338163845e-01
1.848785996449342273e+00 1.201080048808114142e-01 3.189526957635835380e+00 9.544218376227752154e-01
1.798918174914664325e+00 7.657063966777188924e-02 3.211030931067723859e+00 8.763264081465008681e-01
1.896998679328130599e+00 1.185351685426083712e-01 3.288060596526388935e+00 6.581946710865446137e-01
1.668392573056323158e+00 1.186426014746730928e-01 3.250275713909965614e+00 6.937047168434614663e-01
1.742077231871459242e+00 1.496321870135819410e-01 3.169936690878988994e+00 1.018800479078647570e+00
1.888642270535806578e+00 8.940917291312810988e-02 3.160901857155193895e+00 9.505525430329985204e-01
2.010129510163998212e+00 5.850923569042443262e-02 3.213353829777105375e+00 9.479740222478040268e-01
1.828719441943755797e+00 1.266834030517971499e-01 3.188273672244239076e+00 1.019324592590460155e+00
1.775954363864247432e+00 1.598154445951647240e-01 3.226106340780508841e+00 8.729385125680920732e-01
1.769346816205416228e+00 2.973898894911775059e-02 3.199016036618046677e+00 9.186585197447756368e-01
1.833309690311502482e+00 1.559853880232600076e-01 3.263084760237717319e+00 7.789621189788424882e-01
1.889434515736430953e+00 1.161154801437036532e-01 3.217175469044788905e+00 9.310055851477457844e-01
1.926708429574063297e+00 1.718303406336740835e-01 3.218452703442963081e+00 8.500223574666527782e-01
1.815578458104486259e+00 7.603052053543724043e-02 3.162617650326714269e+00 1.051065465073805383e+00
1.904599025439569493e+00 6.877199656253907278e-02 3.230711960550987083e+00 8.246924496548618810e-01
1.720792268383755319e+00 1.635729555258316203e-01 3.171258406014112907e+00 1.073858532023729273e+00
1.820877135428198068e+00 5.666540197045888405e-02 3.188491825628546383e+00 9.911456436472444453e-01
1.748290543256582730e+00 2.201532774827925643e-01 3.205037793142912594e+00 9.206804695107809744e-01
1.898078110564005661e+00 1.327612633798453956e-01 3.194687089596552454e+00 9.281697402969070199e-01
1.758532440462749591e+00 1.806428039875149771e-01 3.217335256106216956e+00 8.716094146316047953e-01
1.866768090004501168e+00 1.164685936692642088e-01 3.203511119574183663e+00 9.276301018779505858e-01
1.864181437804412811e+00 1.594523656376050091e-01 3.209696267878976439e+00 8.425119471243154301e-01
1.758239908160923237e+00 1.172854533717719860e-01 3.202655317281406067e+00 8.477282728161444902e-01
1.899911039227896170e+00 1.829294728248731516e-01 3.231370044473016012e+00 8.564022302285513311e-01
1.853709471683816723e+00 6.935824714137739377e-02 3.213611010842757132e+00 8.131395102140540621e-01
1.760205476973831784e+00 2.676768582254847040e-01 3.187570912100045728e+00 9.516335880344541920e-01
1.801806012572957583e+00 1.025250976749871867e-01 3.216309348111438648e+00 9.055025087182884125e-01
1.926708429574063297e+00 1.718303406336740835e-01 3.218452703442963081e+00 8.500223574666527782e-01
1.810528821016401668e+00 1.338711764656568270e-01 3.253216343121297260e+00 7.490946091501318183e-01
1.767135333358530458e+00 1.539949100959665529e-01 3.200847663831689616e+00 8.939611433077724323e-01
1.755862875576894577e+00 1.216873482641616100e-01 3.218517420915063987e+00 8.711230726256581347e-01
1.926350660147265970e+00 2.140800991566540468e-01 3.216075629375351408e+00 8.998322818949598956e-01
1.828687846989775823e+00 1.216269696161247360e-01 3.243789432487030666e+00 7.654718160663773752e-01
1.718913542005318540e+00 1.424137117660810858e-01 3.159792111454321706e+00 1.080807550856790478e+00
1.892472388314365928e+00 6.838166547437252163e-02 3.218759820142957917e+00 8.711748829181065190e-01
1.879607930158418316e+00 1.390753500848744828e-01 3.229987920678829560e+00 7.633476844025880448e-01
1.724290925841393651e+00 8.604258131512620977e-02 3.238009776579871879e+00 8.723807054721033349e-01
1.900251009308448147e+00 1.067695702190625262e-01 3.202501839958050933e+00 8.688912844423694049e-01
1.723018404905521939e+00 1.531421620531365768e-01 3.204012234997636988e+00 9.278207041051710346e-01
1.755965783471896025e+00 1.851613406761010161e-01 3.192170255840035331e+00 9.229693823200598723e-01
1.784186311233474376e+00 5.024620251861389164e-02 3.241843664015573445e+00 7.677377074979012672e-01
1.771666821052401364e+00 2.293916799439377208e-01 3.252895702332411432e+00 6.613351190960381487e-01
1.898537774310246729e+00 1.568478752504516294e-01 3.169250393939137211e+00 1.080991159593555739e+00
1.814487116317540671e+00 7.243529809164828137e-02 3.242253379976742345e+00 8.642982586709286874e-01
1.701441798290927787e+00 9.328274851316153971e-02 3.234566921481320634e+00 8.520578358090661331e-01
1.724805587655970918e+00 1.806225141474198104e-01 3.250667876365798126e+00 6.913343038668122720e-01
1.826282273136849987e+00 8.961486380487704295e-02 3.251076673549661677e+00 7.422703745962033750e-01
1.778304021185834749e+00 2.377336823734741422e-01 3.165615474767915494e+00 1.041223141623820014e+00
1.813030085281381876e+00 1.659338457429408997e-01 3.224004328530840624e+00 8.305639964223261451e-01
1.520304948726571403e+00 2.948511805582656464e-01 3.199889711075554199e+00 9.013689264079075558e-01
1.895908119504033040e+00 1.868244326791486110e-01 3.202930576456639589e+00 8.975146094766445204e-01
1.714129534436929170e+00 1.530289431720510684e-01 3.174344798130182443e+00 1.079238796118707766e+00
2.010129510163998212e+00 5.850923569042443262e-02 3.213353829777105375e+00 9.479740222478040268e-01
1.834787418735162268e+00 1.845075068233064108e-01 3.219074504093526468e+00 8.028424659513998529e-01
1.970003144400678030e+00 3.569552633587091961e-02 3.231298269089511788e+00 8.098097690261247816e-01
1.837578086014351353e+00 1.096476145502571775e-01 3.178719087265287069e+00 1.015636150353487865e+00
1.902297239973158804e+00 8.874011356176492171e-02 3.230031414670832213e+00 8.197531494163134980e-01
1.864121245660409265e+00 1.830143691381063142e-01 3.167550102140688217e+00 1.039101511762535512e+00
