weight logl location amplitude width
0.000000000000000000e+00 -2.794561939890407957e+05 6.859872151678408727e+02 8.699664069680719081e+01 1.732658663930472471e+02
0.000000000000000000e+00 -8.149827330360804626e+04 5.671741522856732445e+02 4.156401358308117722e+01 2.491865365580868286e+02
0.000000000000000000e+00 -6.119193642562361492e+04 6.457039656324286625e+02 3.257941729663505015e+01 1.258989387798400912e+03
0.000000000000000000e+00 -5.435634859722045076e+04 6.540510105187676118e+02 7.893456909141397659e+01 3.296793984635605312e+01
0.000000000000000000e+00 -5.357209743189522123e+04 7.291225515964047190e+02 8.626067952105138659e+01 2.699297478643627812e+01
0.000000000000000000e+00 -3.795739325042902783e+04 6.926245943054138934e+02 4.216084887756002786e+01 8.353136103255583578e+01
0.000000000000000000e+00 -3.575269385796002462e+04 4.262190812279094985e+02 7.102459835998389792e+01 2.900549234581400526e+01
0.000000000000000000e+00 -2.397511990523338318e+04 5.134814268554682712e+02 5.331234374940520127e+01 3.580864409335917742e+01
0.000000000000000000e+00 -2.369828316487326447e+04 7.645185206397193269e+02 4.102202512569076021e+01 6.690295826916775468e+01
0.000000000000000000e+00 -2.263700504068149894e+04 4.261553605391204087e+02 8.174853832887703220e+01 1.250075484918179924e+01
0.000000000000000000e+00 -2.197667152112181066e+04 5.087119655409066468e+02 4.557801005557548280e+01 4.471793423905681664e+01
0.000000000000000000e+00 -1.200985954550258975e+04 5.766068710730394287e+02 6.380844759816878309e+01 1.081021337976082108e+01
0.000000000000000000e+00 -9.646957365113121341e+03 4.212695639326391301e+02 4.515691031137627220e+01 1.747172531484785196e+01
0.000000000000000000e+00 -9.179651854282952627e+03 6.448930983735222071e+02 7.479719194316966480e+01 5.966672921831504439e+00
0.000000000000000000e+00 -8.583464886946982006e+03 6.251058227129291254e+02 2.820202201311915502e+01 3.933533281664966097e+01
0.000000000000000000e+00 -6.535170307098591366e+03 5.308524445705372727e+02 7.424203972377068794e+01 4.252615166026831872e+00
0.000000000000000000e+00 -6.026787074417420627e+03 4.165966336294669645e+02 9.301729493900843693e+01 2.432795498595570649e+00
0.000000000000000000e+00 -4.753281864188640611e+03 5.478753203619115766e+02 9.268970029250479570e+01 1.305241563945408689e+00
0.000000000000000000e+00 -4.719192292768658263e+03 4.865565398556076389e+02 8.892552577349368903e+01 2.022542876569523251e+00
0.000000000000000000e+00 -4.608053150102250584e+03 5.287807392845877530e+02 4.635894917436328910e+01 7.484919296877496464e+00
0.000000000000000000e+00 -4.395117415907197028e+03 5.229543098124721610e+02 7.578146607670940682e+01 2.582778146246635931e+00
