location amplitude width
4.999253275729421375e+02 1.947251936052664334e+01 4.248738935764889924e+00
5.001792109384372225e+02 2.002204368234820109e+01 4.108762532180921134e+00
4.999421248395973407e+02 1.888961001824110042e+01 4.171956102973837233e+00
5.002775679844089609e+02 1.904289964837921190e+01 3.950495256612394979e+00
4.997686306937755489e+02 1.917895562544166310e+01 4.258849118311266224e+00
5.001510912144332224e+02 2.041444420730683973e+01 3.812289491779640382e+00
5.001874015498736981e+02 1.930708296842884408e+01 4.627105656508126330e+00
5.000171751454950027e+02 1.984542839922599455e+01 4.024622234188677261e+00
5.001728240905304119e+02 1.974519221404685609e+01 3.999742560761129440e+00
5.003634053757463107e+02 2.069788105825912439e+01 4.213608331949761698e+00
5.001699465382748713e+02 1.768600241107560223e+01 4.427092780738615119e+00
5.003376157007907636e+02 1.857659851635259329e+01 4.409438051626302091e+00
5.001258846697565446e+02 1.886951266206588329e+01 4.100047833887249027e+00
5.001483937712382044e+02 1.936504138932017582e+01 4.370938966889351462e+00
5.000017073956105946e+02 1.885327755063196875e+01 4.354262368305725772e+00
4.995084969855248573e+02 1.943572773363396422e+01 3.767500251674682943e+00
4.997236397363059268e+02 2.006573083001501345e+01 3.967878787627153514e+00
4.999002017433532501e+02 2.107116245716347791e+01 3.983678017516469438e+00
4.996294573757467674e+02 2.055343336722700087e+01 4.270576503349212238e+00
5.005411868074360768e+02 1.991255867029352444e+01 4.122905022672443742e+00
5.001266510708649093e+02 2.083666258553285289e+01 4.094143866983854352e+00
4.999889822443312823e+02 1.891231588285576848e+01 4.378373006261254474e+00
4.996238604845567011e+02 1.992303023680159768e+01 4.003934166476581957e+00
4.998713648976001878e+02 1.977806532030759001e+01 4.310357021843523206e+00
5.000276809082020009e+02 1.883040825809562691e+01 4.224106439656035050e+00
5.002986781485895449e+02 1.849112978274140673e+01 4.629122984364015814e+00
4.999025967059904474e+02 1.892908317732713286e+01 4.359996492774229182e+00
4.999923094166002215e+02 1.956779598277892518e+01 4.210523101024783443e+00
5.002615335003409314e+02 2.034694131662058680e+01 4.139329339727932044e+00
4.995721377558940617e+02 2.115363060813499274e+01 4.040309079377833790e+00
5.000136160869899413e+02 2.056660224057945996e+01 4.115256796471644662e+00
4.998848927611824706e+02 1.988740830289944128e+01 3.699276306575754791e+00
5.000551121599689850e+02 1.983824564442153005e+01 4.284351324836449315e+00
4.998458315022687657e+02 2.011768045191852750e+01 3.901760057866700215e+00
5.000415552410756845e+02 1.955245221142039114e+01 4.297057542368540872e+00
5.002939138000225512e+02 1.996794005643151593e+01 4.150369114738851728e+00
5.001848150710047776e+02 1.979028209717722930e+01 4.274788224776269630e+00
5.004008376932513329e+02 2.203410975196700861e+01 3.941835863464425049e+00
4.999896835509459834e+02 2.001956969675912390e+01 4.288865093008054963e+00
5.002939138000225512e+02 1.996794005643151593e+01 4.150369114738851728e+00
5.003040753496979391e+02 2.034030832211777096e+01 4.074151231675667617e+00
4.999920688983625610e+02 2.013422214499508200e+01 3.902602529664900288e+00
4.997664721449534113e+02 2.024474650589165847e+01 4.209217991433622963e+00
5.001194102139274946e+02 1.870688585697728001e+01 4.319584223413075463e+00
4.997512956243994608e+02 1.880097039296924066e+01 4.105242920790289851e+00
5.000276809082020009e+02 1.883040825809562691e+01 4.224106439656035050e+00
4.993433294224405472e+02 1.993606531956274353e+01 3.958863917059287640e+00
5.001141721239902154e+02 1.798676843372394529e+01 4.366908891760428624e+00
5.000561561051576973e+02 1.979167204186207130e+01 4.109366808975124741e+00
4.997978026660899218e+02 1.767056890530777125e+01 4.500915911767853217e+00
4.997292190265623617e+02 1.955946315319289397e+01 4.219692609436001440e+00
5.001135738851472752e+02 1.902329688594555890e+01 4.325968030977273671e+00
4.999438413028416335e+02 1.941746942837292522e+01 4.177703302646135874e+00
5.000410987431600915e+02 1.958347115053459930e+01 4.067299074966277850e+00
5.000795812308755330e+02 1.984439324976708008e+01 3.966353915105088390e+00
4.995778598368143548e+02 2.091530260736392677e+01 3.898404143128543442e+00
4.999053442480770286e+02 1.977463387199490441e+01 4.028371719292643149e+00
5.000143246655627536e+02 1.900947574090390546e+01 4.254059517984712713e+00
4.999316824573459144e+02 1.954614071684570575e+01 4.033381971221842832e+00
4.997638003416465153e+02 1.924265299686166841e+01 4.100735464313827627e+00
4.999298198468197825e+02 1.890615516031255439e+01 4.094182364805273977e+00
