weight logl location amplitude width
1.829457731182175841e-185 -4.889351512964938138e+02 5.909100195887333484e-01 4.376107213634080617e-01 8.975208868812316609e-01
4.363927806337990986e-185 -4.880632983728451109e+02 5.780464909274012353e-01 4.562602320919754151e-01 8.710110913776625274e-01
1.444994419974046111e-184 -4.868634803447354216e+02 7.514891169567503582e-01 5.501700829904740964e-01 7.229689483278651796e-01
2.245295344838995760e-184 -4.864202487354201594e+02 2.933593784935217830e-02 7.346111546376931090e-01 4.909874626989545465e-01
2.828396734612857639e-184 -4.861868757784351942e+02 4.926127045714543407e-01 8.152984476451292650e-01 4.279696635058973797e-01
7.042903073737578283e-184 -4.852720653510846205e+02 6.123010403477829877e-01 5.638287377942468037e-01 4.635919621383632894e-01
1.136761620678823590e-183 -4.847908171752962971e+02 9.689428185263484483e-01 4.356186742491272579e-01 8.922354710363661345e-01
1.164662094197168252e-183 -4.847640697146424600e+02 4.606969608841148256e-01 5.790497659146559561e-01 5.422809135637767231e-01
3.338865406320931449e-183 -4.837083696611170467e+02 4.355322593743782278e-01 6.758508356395355188e-01 3.588743284201421080e-01
6.266005808280236702e-183 -4.830763615922072631e+02 6.901359988781736732e-01 4.362103279592997040e-01 7.515563407076034652e-01
1.274099432575571778e-182 -4.823641760170426664e+02 1.719309100572385951e-02 4.705095768459365280e-01 7.767624976860134645e-01
1.637457630297746294e-182 -4.821107708051294480e+02 1.390196853470228033e-01 4.765245462652245578e-01 6.914946655340102888e-01
1.668519712239753988e-182 -4.820894787852070635e+02 8.606386035819656444e-01 3.147805428831775831e-01 9.281505442139597051e-01
2.057166024954028915e-182 -4.818775862991009831e+02 9.476828533145166267e-01 4.179777125636772173e-01 8.538494170390504845e-01
2.497625206495244973e-182 -4.816810752556798434e+02 7.217311299940250002e-01 5.696620822632341152e-01 4.620076649814200964e-01
3.452689581383613425e-182 -4.813547621025660419e+02 5.678302245091236822e-01 4.604680750015882618e-01 8.092206308766013434e-01
3.974670916429576989e-182 -4.812114736623350950e+02 5.052390348037782974e-02 5.770217546933074093e-01 5.362412944084762323e-01
5.462863768660767551e-182 -4.808909424666850327e+02 1.811680031747198161e-02 5.787447019128473258e-01 4.646048836238382274e-01
6.023201144400447491e-182 -4.807907967491421459e+02 8.107351140359522201e-01 5.499673338219969176e-01 5.727356011944811920e-01
9.885263856050488696e-182 -4.802928704698587126e+02 3.603197020416889496e-01 5.641722728326926672e-01 4.827805401358105097e-01
