amplitude offset frequency phase
1.811902388393996421e+00 2.390539782403546809e-01 3.197646809897465747e+00 1.061218975795778396e+00
1.752913199083550255e+00 2.808521907115046901e-01 3.191715925022216460e+00 1.158803813962955731e+00
1.739128304531571523e+00 2.155002520060445015e-01 3.159840216254280243e+00 1.269901218411457977e+00
1.775087345085498702e+00 2.438392405534752783e-01 3.225835650289791801e+00 1.047609125819738418e+00
1.980571310991563472e+00 1.647857369367558000e-01 3.192879512829341682e+00 1.089154865700004970e+00
1.772451543072309121e+00 7.709074232105983526e-02 3.169854771599667220e+00 1.036788525330205601e+00
1.850753120272006669e+00 2.013481161837495925e-01 3.208503560086728434e+00 9.689490711648393040e-01
1.876175180879048332e+00 1.565137778228518073e-01 3.213377987515003031e+00 1.039467219189326830e+00
1.981016743184115247e+00 2.364480787902842884e-01 3.214175242442037561e+00 9.466872789918511222e-01
1.788477662833565685e+00 1.800954827761360733e-01 3.196247124774556969e+00 1.052240574407056428e+00
1.759605546908647344e+00 1.512847239348289463e-01 3.214837257764707523e+00 1.008220886453000897e+00
1.883605080463170767e+00 1.721245073369015444e-01 3.180289402613818872e+00 1.103137640065869896e+00
1.781732455822909733e+00 2.356030818168148855e-01 3.202996521428555621e+00 1.011047384835458640e+00
1.777873296291369032e+00 1.867005358416724548e-01 3.268365340874505698e+00 8.655465777467882260e-01
1.841168957575874954e+00 9.713192157774441782e-02 3.194215434447187807e+00 1.056777689982897117e+00
1.920004702977460509e+00 1.857103946054299293e-01 3.250188522152061665e+00 7.581213418691346018e-01
1.722391986166182942e+00 3.388589768923475631e-01 3.143240142485580257e+00 1.172778044668474795e+00
1.535602303093770882e+00 3.089881947507970850e-01 3.170342228570074194e+00 1.121459144733101931e+00
1.717723446535551535e+00 2.032360196989659862e-01 3.179719684262864110e+00 1.113838896929201461e+00
1.860980379530297490e+00 1.974574312511729879e-01 3.193153546768973339e+00 1.123611923167747495e+00
1.794563215257293010e+00 2.163670729849913599e-01 3.177715450565226529e+00 1.108062114347732940e+00
1.765615629082749383e+00 1.414786348294110319e-01 3.219358509003020341e+00 9.338493113673925761e-01
1.802863787321919098e+00 1.832156417420574002e-01 3.205581646972270438e+00 1.017194100770939746e+00
1.608522246555091684e+00 2.357619853543737598e-01 3.149246153689271743e+00 1.231872852968582066e+00
1.684106794087416370e+00 2.809967293882489336e-01 3.156140350527164351e+00 1.101532010430833930e+00
1.757343519989379432e+00 2.133925081100769283e-01 3.176724173091117986e+00 1.183254549307682701e+00
1.788692228032011222e+00 1.463552282159401585e-01 3.177712873020989370e+00 1.131608122158723528e+00
1.711569486903872006e+00 1.072906300871432350e-01 3.235737409298454992e+00 9.476347876520929692e-01
1.652370876137305267e+00 1.960725276729444744e-01 3.240308323306725136e+00 8.745119302421815455e-01
1.684496072968800773e+00 1.834015583663077820e-01 3.208177504080650611e+00 9.847102929663604787e-01
2.028679791116283493e+00 2.071267094737918590e-01 3.208605533337593574e+00 9.414238745577044876e-01
1.682951889434895820e+00 1.026737485621764812e-01 3.183795893834843405e+00 1.157046825872434015e+00
1.777667061244430302e+00 2.518967306384336524e-01 3.197576451933763053e+00 9.653578591404530229e-01
1.690113040129879396e+00 1.189166097060789795e-01 3.197888819084654610e+00 9.548478022244827335e-01
1.698982448777724752e+00 2.007364323822340424e-01 3.160515018716296698e+00 1.118283054276019817e+00
