amplitude offset frequency phase
1.763358051246784353e+00 1.983503030953439605e-01 3.190706818502283770e+00 1.033114540966008965e+00
1.746219835929433195e+00 1.865404874499501098e-01 3.188681138593487230e+00 1.045223199223742405e+00
1.750730191298766503e+00 1.994248084514471664e-01 3.203509756364964822e+00 9.989920284362817648e-01
1.742983377560084257e+00 2.338355576013064763e-01 3.184829070175311028e+00 1.037239783087220424e+00
1.802811068910649128e+00 1.678233373419182328e-01 3.188969668640470712e+00 1.034870557537567848e+00
1.786221642984689328e+00 2.184326980382436112e-01 3.196541120308467931e+00 1.007824321711667803e+00
1.783336492940563289e+00 2.138816056846013502e-01 3.190761665671537628e+00 1.046377778832032979e+00
1.738603271697818808e+00 2.251177097491257051e-01 3.185481875927993922e+00 1.066166433119792645e+00
1.771707291861968070e+00 1.989050560622667163e-01 3.205509305367669537e+00 9.765012257985864474e-01
1.776886238263042372e+00 1.901064195583348493e-01 3.190942209699251464e+00 1.013697296773723222e+00
1.795470413958967892e+00 2.112382588016368246e-01 3.189777049377707119e+00 1.023264122842435730e+00
1.753786516879175750e+00 1.799806418971785504e-01 3.191870030805947778e+00 1.066406312960466618e+00
1.780340316175230253e+00 2.072871123963926365e-01 3.199092025733065725e+00 1.016745954388427631e+00
1.742732093549621775e+00 2.125696655001712010e-01 3.206093122793329808e+00 9.826362591039224936e-01
1.741151968781886161e+00 1.885889814546164445e-01 3.197050289285484403e+00 9.929661331440122751e-01
1.782319346824285500e+00 2.025580155160158213e-01 3.190044256473237638e+00 1.063876723172828997e+00
1.779374696616015994e+00 2.093649619344355450e-01 3.193974397569169454e+00 1.030512293623709885e+00
1.768735140657862637e+00 1.935870577114786606e-01 3.206954872492665309e+00 9.962884974265311389e-01
1.781987478858816587e+00 2.165508586411317715e-01 3.182929764376222437e+00 1.059259545556291648e+00
1.751508108780081230e+00 2.365107564734536538e-01 3.196893882706687506e+00 1.022133154922027387e+00
1.757102294361448269e+00 2.087771163213294479e-01 3.198193548903954575e+00 9.762761579185070815e-01
1.793587609196654498e+00 2.118664621993007202e-01 3.190915905591695800e+00 1.054235340333610438e+00
1.778599893802589538e+00 1.578217364496938835e-01 3.195388674011637065e+00 1.025128980451165184e+00
1.782022011977059117e+00 2.009032741783292053e-01 3.194846491361558183e+00 1.017117844127854331e+00
1.740256676873000341e+00 2.216460859815869711e-01 3.202208135996446270e+00 9.979401682402266882e-01
1.754599442190643899e+00 2.062897508902397092e-01 3.200731916289276224e+00 1.007205653241049825e+00
1.746304682619884474e+00 2.078993085234026594e-01 3.192623049830292103e+00 1.005032097878205910e+00
1.743319417502295465e+00 2.255948974138437535e-01 3.176475973036773759e+00 1.084036097965899836e+00
1.742493675942377918e+00 1.973125753044322472e-01 3.198544540194051322e+00 9.994932684613855312e-01
1.776274522589052163e+00 1.953163235195916059e-01 3.192884734606851183e+00 1.021353090337161262e+00
1.762867907294172198e+00 1.979237866859415718e-01 3.187549949438527985e+00 1.037496888736876066e+00
1.782261966508903228e+00 1.911360948185745201e-01 3.190080797219525088e+00 1.023920446041648225e+00
