weight logl amplitude offset frequency phase
0.000000000000000000e+00 -4.581865748397319840e+04 4.745853391094746243e+00 -1.991952887820727547e+00 2.811233263719283393e+00 5.301131725812200379e+00
0.000000000000000000e+00 -4.221707404929569748e+04 4.383045694174872331e+00 1.770871698448361009e+00 3.068717003079290517e+00 4.500789457425420359e+00
0.000000000000000000e+00 -3.930030884924721613e+04 4.871887929926905336e+00 7.778541443001114608e-01 3.594193165141523760e+00 3.025851613156731013e+00
0.000000000000000000e+00 -3.874285631091729738e+04 4.705600663200717904e+00 -1.821500530649901695e+00 4.243365273845576269e+00 3.972727195310275405e+00
0.000000000000000000e+00 -3.752238819764135405e+04 3.426374281770275587e+00 -1.758632702339658849e+00 3.142948900623657060e+00 4.537951059761704542e+00
0.000000000000000000e+00 -3.669021538521110779e+04 4.554635853138093715e+00 -1.548483492215777524e+00 6.964176389487399810e-01 2.718951166163504851e+00
0.000000000000000000e+00 -3.434407719200784777e+04 4.808513880882086866e+00 -1.178964552745344729e+00 6.874183196795449202e-01 8.500815862223863872e-01
0.000000000000000000e+00 -3.418971791553669755e+04 4.578368189227365548e+00 -1.005909388728194465e+00 3.794871944475056047e+00 1.491770348741330077e+00
0.000000000000000000e+00 -3.417285984020672913e+04 4.836951995496828971e+00 -3.907847954906826793e-01 3.095703076856825220e+00 5.632948862226798248e+00
0.000000000000000000e+00 -3.330060913001895096e+04 4.950969573255302514e+00 -1.047901148892179002e+00 2.491691612513957210e+00 5.798465784227105679e+00
0.000000000000000000e+00 -3.278341108722085482e+04 3.951260544328192736e+00 -1.786531228674189453e+00 3.836091061757330944e+00 1.337207523371068518e+00
0.000000000000000000e+00 -3.259798551935288560e+04 4.711047552364654223e+00 -1.558385801489904132e+00 5.180148451904488915e+00 3.019708133205329936e+00
0.000000000000000000e+00 -3.258132355826583080e+04 3.981784776394516445e+00 1.813143821399900713e+00 3.008049591297906389e+00 5.599921923503484500e+00
0.000000000000000000e+00 -3.258071870634546212e+04 4.252378597486265122e+00 -1.581244813361498913e+00 4.527676582763301205e+00 3.828135862120166877e+00
0.000000000000000000e+00 -3.231930466895705467e+04 4.927856613685039022e+00 9.697025279052229330e-01 3.944008657381946836e+00 1.231224756491264172e+00
0.000000000000000000e+00 -3.204269437325898980e+04 4.843620475962441496e+00 -1.342226980591881613e+00 2.452882219573450762e+00 2.753565094441471572e+00
0.000000000000000000e+00 -3.173660953147910186e+04 4.798211848804674773e+00 -1.376938573241676345e+00 1.075767927705806315e+00 3.128284741285255244e+00
0.000000000000000000e+00 -3.157066151910031476e+04 4.830618773210403560e+00 -1.553914407021537603e+00 5.285830894417502535e+00 1.319417358594996981e-01
0.000000000000000000e+00 -3.112151891868574603e+04 4.986246253512283566e+00 -6.286029839615467907e-01 2.365363111088387260e+00 1.012171625134846292e-01
0.000000000000000000e+00 -3.103631449527380028e+04 3.009640017701747716e+00 -1.755296954423451794e+00 3.447601501414104597e+00 2.767759152910590270e+00
0.000000000000000000e+00 -3.094843683269168832e+04 4.782564584726277879e+00 -1.403576416352059208e+00 5.399051960556222163e+00 1.733914573366773348e+00
0.000000000000000000e+00 -3.076068183800382030e+04 4.685301419842974546e+00 -1.609425061708997351e+00 3.810752210506491711e+00 3.654892199698897559e-01
0.000000000000000000e+00 -3.048793339797647059e+04 4.620910222440003601e+00 8.447272164994386046e-01 3.487523511615473470e+00 4.412645737381088118e+00
0.000000000000000000e+00 -2.976466394464316181e+04 4.131522528289732321e+00 -1.924870599718867759e+00 5.137810457545151976e+00 1.341893332948627338e+00
0.000000000000000000e+00 -2.962724073841161226e+04 4.661015671509748159e+00 -8.024756547171119081e-01 4.479474114413845243e+00 2.135030276582083442e+00
0.000000000000000000e+00 -2.946129839675874246e+04 4.765974185007068264e+00 -7.316339502915987225e-01 2.285072196110143672e+00 4.449880422019927728e+00
0.000000000000000000e+00 -2.923455455678691214e+04 4.617596742244082009e+00 -1.699758827164731478e+00 1.122731903550231003e+00 1.152693309602156102e+00
0.000000000000000000e+00 -2.915237398015300278e+04 4.623257385444875744e+00 -5.797179053439003305e-01 4.668697109345465890e+00 3.582369660933460320e+00
0.000000000000000000e+00 -2.904981920395937050e+04 4.985730323145393328e+00 9.721717569062686692e-01 1.150419180627815452e+00 4.936677092317542481e+00
0.000000000000000000e+00 -2.901295433642798162e+04 4.837044655822094086e+00 1.535685894973336296e+00 5.098458333762911465e+00 3.816443939068765001e+00
0.000000000000000000e+00 -2.900752513401460601e+04 4.821943791747173691e+00 1.034708371218434841e+00 3.955960263707106517e+00 3.036617434223853440e+00
0.000000000000000000e+00 -2.881979747774641874e+04 4.168690775354603417e+00 -1.381569566888291689e+00 1.232912387387293585e+00 3.001527543674504361e+00
0.000000000000000000e+00 -2.853898968533516017e+04 4.858319581050920988e+00 -8.067111726415467921e-01 2.169021176028950393e+00 2.785595046832781030e+00
0.000000000000000000e+00 -2.807904472042156704e+04 4.832610590587314903e+00 1.145608100772647298e+00 3.962266041140120265e+00 1.558510390684844649e-01
0.000000000000000000e+00 -2.758157484190872492e+04 3.448950268356178128e+00 -1.955403557230209977e+00 5.530535472786086260e+00 3.923964994897787495e+00
0.000000000000000000e+00 -2.695553001535938529e+04 4.687280400066631714e+00 -2.001899173453423053e-01 5.598696103818697090e+00 1.870862680193934535e+00
0.000000000000000000e+00 -2.638304707437576872e+04 3.835862259442739397e+00 -1.769522289272844606e+00 5.045909391199458582e+00 3.628192182554331069e+00
0.000000000000000000e+00 -2.632431777511537803e+04 4.051536000526466452e+00 -1.525893575057798657e+00 2.525876229585896748e+00 4.736476047818311663e+00
0.000000000000000000e+00 -2.628593762757929653e+04 4.705042463636344152e+00 8.396135166295706220e-01 5.172027399120666225e+00 3.882486324251765986e+00
0.000000000000000000e+00 -2.621346438042060981e+04 4.175828331389574544e+00 9.855389868456523317e-01 3.261448647041401472e+00 5.147360587529542286e+00
0.000000000000000000e+00 -2.620103756873240127e+04 4.669007071486986682e+00 7.629372843140944660e-01 5.630364021175410905e+00 2.059321227806000909e+00
0.000000000000000000e+00 -2.612874604081916186e+04 4.213601438533793875e+00 -1.347730119128844439e+00 5.921583255396432932e+00 6.279644049058151545e+00
0.000000000000000000e+00 -2.589992241978444872e+04 4.506896509108036852e+00 -2.126107882884582523e-01 1.784632123403555148e+00 3.939180851537032346e+00
0.000000000000000000e+00 -2.582493828500284872e+04 3.504826771092479643e+00 -1.850028178092209430e+00 2.693329006593964792e+00 1.027262450062457422e+00
0.000000000000000000e+00 -2.565086833290426512e+04 4.141240212388163755e+00 1.234446548402139854e+00 1.593306985221323524e+00 5.178413599264387379e+00
0.000000000000000000e+00 -2.553096483828810960e+04 4.590823972432424682e+00 -5.968978781702087844e-01 1.993997955317489357e+00 1.774980595632951741e-01
0.000000000000000000e+00 -2.549246818403352154e+04 3.139039925594530711e+00 -1.891150125369508661e+00 4.533697361212549737e+00 2.161169515257816975e+00
0.000000000000000000e+00 -2.536512587535240164e+04 3.793970633349850630e+00 -1.235479327418214535e+00 8.232602809333122718e-01 3.488081143472221424e+00
0.000000000000000000e+00 -2.512945506904554350e+04 4.492085557536269924e+00 8.036476732864539230e-01 8.035040239374020565e-01 5.635542523001874748e+00
0.000000000000000000e+00 -2.507570773053100129e+04 4.177943168021653442e+00 1.504879474877949264e+00 1.167923964887126242e+00 3.393935245817972235e-01
0.000000000000000000e+00 -2.501425331905938219e+04 4.492870809105438568e+00 -5.206619790879676302e-01 5.092964677889582958e+00 4.134086141297006023e+00
0.000000000000000000e+00 -2.497987289964941010e+04 4.323838706304799828e+00 -5.878474542855975926e-01 9.967111812788507219e-01 5.439893088018027179e+00
0.000000000000000000e+00 -2.495037594558419732e+04 4.133632028100895361e+00 1.882274927921181451e+00 5.737837593881238263e+00 1.549650044857617537e-01
0.000000000000000000e+00 -2.491505330980113285e+04 4.359353182472959887e+00 -3.975726746605197093e-01 5.689646861363929276e+00 2.834112496122786151e+00
0.000000000000000000e+00 -2.484782600225789065e+04 4.412177430105240994e+00 1.508834316854003710e+00 4.357437441973290859e+00 1.894349833635733615e+00
0.000000000000000000e+00 -2.481668259741110523e+04 4.546036436487122856e+00 5.376802785998018308e-01 5.773105746875071276e+00 2.557677466302167968e+00
0.000000000000000000e+00 -2.478686669042689027e+04 4.271594760885139230e+00 1.505119069000763421e+00 5.958730274293812634e+00 3.150893226348182363e+00
0.000000000000000000e+00 -2.446470971286093118e+04 3.786546979499190613e+00 7.549808292414419419e-01 2.571971627476726585e+00 6.099587122684022589e+00
0.000000000000000000e+00 -2.431457984496591234e+04 4.515932284230851579e+00 1.093936222982299089e+00 5.434836772974278141e+00 1.482561806224206080e+00
0.000000000000000000e+00 -2.423822252679031226e+04 3.674765481555414937e+00 -1.413556650969626904e+00 5.780924649980366148e+00 2.382510318864295318e+00
0.000000000000000000e+00 -2.421297717228005786e+04 3.819578165594807562e+00 -1.666765545374747415e+00 2.361241343117536751e+00 5.582843196294263066e+00
0.000000000000000000e+00 -2.410872919790634478e+04 3.529924875528637873e+00 -1.867600720627215605e+00 1.993779977297101880e+00 5.082183454220414731e-01
0.000000000000000000e+00 -2.357292690253200271e+04 3.082097621357477557e+00 -1.245864563236843470e+00 2.782766664294793912e+00 5.100256285192221739e+00
0.000000000000000000e+00 -2.355027822622403619e+04 3.425060242279157841e+00 1.007473560697440096e+00 2.737703872322394538e+00 6.159563954331263247e+00
0.000000000000000000e+00 -2.351229712704483245e+04 4.644687991559698581e+00 -5.776953620423896929e-01 8.844817769164123877e-01 2.064251107685825204e+00
0.000000000000000000e+00 -2.345960172013404008e+04 4.122213532326894025e+00 -5.555308939507810351e-01 5.693438494000055528e+00 3.059134234946740083e+00
0.000000000000000000e+00 -2.321219454672323627e+04 3.507421740196190019e+00 5.999397379111131023e-01 3.351167921750729306e+00 4.551415934234153582e+00
0.000000000000000000e+00 -2.306713829270544011e+04 3.947972333051846139e+00 1.784760203642004051e+00 4.344461382286370466e+00 1.525381069843325110e-01
0.000000000000000000e+00 -2.284164873199919020e+04 4.393518401977596355e+00 -2.874217386586876977e-01 5.227686363438328598e+00 4.862363070769942786e-01
0.000000000000000000e+00 -2.273639907738733746e+04 3.902596546259869292e+00 -7.638949343662431168e-01 4.887046641819488890e+00 2.178551883539281420e+00
0.000000000000000000e+00 -2.265127680840920584e+04 4.043153246911352028e+00 1.778670541167540531e+00 2.344940144555861750e+00 2.218313439277562971e+00
0.000000000000000000e+00 -2.263556197778226124e+04 4.351379124111060648e+00 2.075862514996940078e-01 4.175894461478439013e+00 8.489438035754675038e-01
