weight logl amplitude offset frequency phase
0.000000000000000000e+00 -4.581865748397319840e+04 9.491706782189492930e-01 2.011778044818113287e-03 4.202242297671424653e-01 8.437013181442817311e-01
0.000000000000000000e+00 -4.221707404929569748e+04 8.766091388349744884e-01 9.427179246120902523e-01 4.670394551053255183e-01 7.163228899651452597e-01
0.000000000000000000e+00 -3.930030884924721613e+04 9.743775859853810450e-01 6.944635360750278652e-01 5.625805754802770675e-01 4.815792412964792213e-01
0.000000000000000000e+00 -3.874285631091729738e+04 9.411201326401434919e-01 4.462486733752457635e-02 6.806118679719229680e-01 6.322791706892318953e-01
0.000000000000000000e+00 -3.752238819764135405e+04 6.852748563540551618e-01 6.034182441508528782e-02 4.805361637497558291e-01 7.222373426701802490e-01
0.000000000000000000e+00 -3.669021538521110779e+04 9.109271706276187430e-01 1.128791269460556190e-01 3.571229799067998645e-02 4.327345181203950952e-01
0.000000000000000000e+00 -3.434407719200784777e+04 9.617027761764173066e-01 2.052588618136638177e-01 3.407605812355363195e-02 1.352946864786920278e-01
0.000000000000000000e+00 -3.418971791553669755e+04 9.156736378454730652e-01 2.485226528179513839e-01 5.990676262681919884e-01 2.374226249601032457e-01
0.000000000000000000e+00 -3.417285984020672913e+04 9.673903990993657498e-01 4.023038011273293302e-01 4.719460139739681814e-01 8.965116556072626475e-01
0.000000000000000000e+00 -3.330060913001895096e+04 9.901939146510604361e-01 2.380247127769552495e-01 3.621257477298104321e-01 9.228544919089672893e-01
0.000000000000000000e+00 -3.278341108722085482e+04 7.902521088656385695e-01 5.336719283145263670e-02 6.065620112286056465e-01 2.128231872841767069e-01
0.000000000000000000e+00 -3.259798551935288560e+04 9.422095104729307780e-01 1.104035496275239669e-01 8.509360821644526007e-01 4.806014760944278263e-01
0.000000000000000000e+00 -3.258132355826583080e+04 7.963569552789032668e-01 9.532859553499751781e-01 4.560090165996193434e-01 8.912552550542541807e-01
0.000000000000000000e+00 -3.258071870634546212e+04 8.504757194972529799e-01 1.046887966596252717e-01 7.323048332296910878e-01 6.092667452837788877e-01
0.000000000000000000e+00 -3.231930466895705467e+04 9.855713227370077600e-01 7.424256319763057332e-01 6.261833922512630712e-01 1.959555060526998460e-01
0.000000000000000000e+00 -3.204269437325898980e+04 9.687240951924882548e-01 1.644432548520295967e-01 3.550694944679001486e-01 4.382434959056618062e-01
0.000000000000000000e+00 -3.173660953147910186e+04 9.596423697609348658e-01 1.557653566895809139e-01 1.046850777646920472e-01 4.978819799744993446e-01
0.000000000000000000e+00 -3.157066151910031476e+04 9.661237546420806677e-01 1.115213982446155994e-01 8.701510717122731275e-01 2.099917946216456333e-02
0.000000000000000000e+00 -3.112151891868574603e+04 9.972492507024567354e-01 3.428492540096133023e-01 3.391569292887977038e-01 1.610921173975676801e-02
0.000000000000000000e+00 -3.103631449527380028e+04 6.019280035403495877e-01 6.117576139413705150e-02 5.359275457116553509e-01 4.405025504735574637e-01
0.000000000000000000e+00 -3.094843683269168832e+04 9.565129169452555313e-01 1.491058959119851979e-01 8.907367201011313629e-01 2.759610752503968145e-01
0.000000000000000000e+00 -3.076068183800382030e+04 9.370602839685948648e-01 9.764373457275066226e-02 6.019549473648166948e-01 5.816941600500902254e-02
0.000000000000000000e+00 -3.048793339797647059e+04 9.241820444880006757e-01 7.111818041248596511e-01 5.431860930209951865e-01 7.022943812175816980e-01
0.000000000000000000e+00 -2.976466394464316181e+04 8.263045056579464420e-01 1.878235007028306036e-02 8.432382650082094200e-01 2.135689570408325633e-01
0.000000000000000000e+00 -2.962724073841161226e+04 9.322031343019496763e-01 2.993810863207220230e-01 7.235407480752445997e-01 3.398006221688950612e-01
0.000000000000000000e+00 -2.946129839675874246e+04 9.531948370014137195e-01 3.170915124271003194e-01 3.245585811109351626e-01 7.082204653323208587e-01
0.000000000000000000e+00 -2.923455455678691214e+04 9.235193484488164462e-01 7.506029320881713041e-02 1.132239824636783743e-01 1.834568380921396402e-01
0.000000000000000000e+00 -2.915237398015300278e+04 9.246514770889751045e-01 3.550705236640249174e-01 7.579449289719029093e-01 5.701518395199972611e-01
0.000000000000000000e+00 -2.904981920395937050e+04 9.971460646290786212e-01 7.430429392265671673e-01 1.182580328414210014e-01 7.856965616908618832e-01
0.000000000000000000e+00 -2.901295433642798162e+04 9.674089311644187283e-01 8.839214737433340741e-01 8.360833334114383675e-01 6.074059179358981542e-01
0.000000000000000000e+00 -2.900752513401460601e+04 9.643887583494348270e-01 7.586770928046087104e-01 6.283564115831102859e-01 4.832926749357546736e-01
0.000000000000000000e+00 -2.881979747774641874e+04 8.337381550709206390e-01 1.546076082779270777e-01 1.332567977067806719e-01 4.777079454022721272e-01
