logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -4.581865748397319840e+04 -4.582465019825989293e+04 5.050000000000000044e-01
-4.582465019825989293e+04 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.221707404929569748e+04 -4.222306926358238707e+04 1.400000000000000133e-01
-4.222306926358238707e+04 1.698497580452517923e+03 -5.000000000000000104e-03 4.000000000000000000e+02 -3.930030884924721613e+04 -3.930630656353390805e+04 7.149999999999999689e-01
-3.930630656353390805e+04 2.750751335072117399e+03 -7.499999999999999722e-03 4.000000000000000000e+02 -3.874285631091729738e+04 -3.874885652520399162e+04 1.899999999999999911e+00
-3.874885652520399162e+04 2.566840094327078077e+03 -1.000000000000000021e-02 4.000000000000000000e+02 -3.752238819764135405e+04 -3.752839091192804335e+04 4.799999999999999822e-01
-3.752839091192804335e+04 2.281443521454328675e+03 -1.250000000000000069e-02 4.000000000000000000e+02 -3.669021538521110779e+04 -3.669622059949779941e+04 1.560000000000000053e+00
-3.669622059949779941e+04 6.166058495760839833e+02 -1.500000000000000118e-02 4.000000000000000000e+02 -3.434407719200784777e+04 -3.435008490629454172e+04 1.860000000000000098e+00
-3.435008490629454172e+04 1.469287030970170690e+03 -1.750000000000000167e-02 4.000000000000000000e+02 -3.418971791553669755e+04 -3.419572812982338655e+04 1.090000000000000080e+00
-3.419572812982338655e+04 6.858761637011634775e+02 -2.000000000000000042e-02 4.000000000000000000e+02 -3.417285984020672913e+04 -3.417887255449342047e+04 7.500000000000000000e-01
-3.417887255444558832e+04 4.635236143027208300e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -3.330060913001895096e+04 -3.330662434430564463e+04 1.229999999999999982e+00
-3.330662434430564463e+04 4.571462818878230792e+02 -2.499999999999999792e-02 4.000000000000000000e+02 -3.278341108722085482e+04 -3.278942880150754354e+04 1.074999999999999956e+00
-3.278942880150754354e+04 5.245322067850951271e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -3.259798551935288560e+04 -3.260400573363957665e+04 3.150000000000000022e-01
-3.260400573363957665e+04 6.924801332777055052e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -3.258132355826583080e+04 -3.258734627255252053e+04 1.270000000000000018e+00
-3.258734627249432378e+04 5.449998519082937065e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -3.258071870634546212e+04 -3.258674392063215419e+04 1.784999999999999920e+00
-3.258630726541660988e+04 4.514734005568320718e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -3.231930466895705467e+04 -3.232533238324374543e+04 2.099999999999999922e-01
-3.232533238324374543e+04 1.253613964336826996e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -3.204269437325898980e+04 -3.204872458754568288e+04 1.784999999999999920e+00
-3.204872458754568288e+04 1.753308616518488350e+02 -4.000000000000000083e-02 4.000000000000000000e+02 -3.173660953147910186e+04 -3.174264224576579363e+04 8.000000000000000444e-01
-3.174264224576579363e+04 2.895876438595838636e+02 -4.250000000000000305e-02 4.000000000000000000e+02 -3.157066151910031476e+04 -3.157669673338700522e+04 4.899999999999999911e-01
-3.157669673338700522e+04 2.075902829909705929e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -3.112151891868574603e+04 -3.112755663297243882e+04 7.500000000000000000e-01
-3.112755663297243882e+04 2.210812383714117288e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -3.103631449527380028e+04 -3.104235470956049176e+04 1.554999999999999938e+00
-3.104235470956049176e+04 1.892846097447215641e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -3.094843683269168832e+04 -3.095447954697837849e+04 9.949999999999999956e-01
-3.095447954697837849e+04 6.651667959008138098e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -3.076068183800382030e+04 -3.076672705229051280e+04 8.800000000000000044e-01
-3.076672705229051280e+04 1.454589451841072218e+02 -5.500000000000001416e-02 4.000000000000000000e+02 -3.048793339797647059e+04 -3.049398111226316178e+04 2.500000000000000139e-02
-3.049398111226316178e+04 1.841240110113729997e+02 -5.750000000000001638e-02 4.000000000000000000e+02 -2.976466394464316181e+04 -2.977071415892985169e+04 1.655000000000000027e+00
-2.977071415892985169e+04 2.694481453357001897e+02 -6.000000000000001860e-02 4.000000000000000000e+02 -2.962724073841161226e+04 -2.963329345269830446e+04 9.749999999999999778e-01
-2.963329345269830446e+04 2.297325437532742001e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -2.946129839675874246e+04 -2.946735361104543335e+04 9.549999999999999600e-01
-2.946735361104543335e+04 1.173870413279225033e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -2.923455455678691214e+04 -2.924061227107360173e+04 1.225000000000000089e+00
-2.924061227107360173e+04 1.686176979013317805e+02 -6.750000000000001832e-02 4.000000000000000000e+02 -2.915237398015300278e+04 -2.915843419443969469e+04 1.120000000000000107e+00
-2.915843419443969469e+04 1.544712405553113967e+02 -7.000000000000002054e-02 4.000000000000000000e+02 -2.904981920395937050e+04 -2.905588191824606110e+04 2.349999999999999867e-01
-2.905588191824606110e+04 1.193484017882228869e+02 -7.250000000000002276e-02 4.000000000000000000e+02 -2.901295433642798162e+04 -2.901901955071467455e+04 5.500000000000000444e-01
-2.901901955071467455e+04 7.951309421661419208e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -2.900752513401460601e+04 -2.901359284830129764e+04 9.699999999999999734e-01
-2.901358846036907198e+04 6.206111985198328540e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -2.881979747774641874e+04 -2.882586769203310905e+04 1.429999999999999938e+00
-2.882586769203310905e+04 9.381423065775567238e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -2.853898968533516017e+04 -2.854506239962185282e+04 1.979999999999999982e+00
-2.854506239962185282e+04 1.818289337997879613e+02 -8.250000000000003164e-02 4.000000000000000000e+02 -2.807904472042156704e+04 -2.808511993470825837e+04 6.750000000000000444e-01
-2.808511993470825837e+04 3.268321226801422767e+02 -8.500000000000003386e-02 4.000000000000000000e+02 -2.758157484190872492e+04 -2.758765255619541495e+04 8.199999999999999512e-01
-2.758765255619541495e+04 4.064086025987973585e+02 -8.750000000000003608e-02 4.000000000000000000e+02 -2.695553001535938529e+04 -2.696161022964607764e+04 1.100000000000000089e+00
-2.696161022964607764e+04 5.934577390790099116e+02 -9.000000000000003830e-02 4.000000000000000000e+02 -2.638304707437576872e+04 -2.638912978866245976e+04 8.500000000000000611e-02
-2.638912978866245976e+04 8.471518741752158803e+02 -9.250000000000004052e-02 4.000000000000000000e+02 -2.632431777511537803e+04 -2.633040298940206776e+04 1.455000000000000071e+00
-2.633040298940206776e+04 8.043666508693909236e+02 -9.500000000000004274e-02 4.000000000000000000e+02 -2.628593762757929653e+04 -2.629202534186598859e+04 1.155000000000000027e+00
-2.629202534186598859e+04 1.945247008164845326e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -2.621346438042060981e+04 -2.621955459470730057e+04 1.955000000000000071e+00
-2.621955459470730057e+04 5.068977632327526806e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -2.620103756873240127e+04 -2.620713028301909435e+04 9.250000000000000444e-01
-2.620713027899943700e+04 2.218273752720701353e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -2.612874604081916186e+04 -2.613484125510585363e+04 1.945000000000000062e+00
-2.613484125510585363e+04 3.718311613279182382e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -2.589992241978444872e+04 -2.590602013407113918e+04 5.200000000000000178e-01
-2.590602013407113918e+04 1.388783206478602494e+02 -1.075000000000000538e-01 4.000000000000000000e+02 -2.582493828500284872e+04 -2.583103849928954151e+04 1.049999999999999961e-01
-2.583103849928954151e+04 8.455004387127499399e+01 -1.100000000000000561e-01 4.000000000000000000e+02 -2.565086833290426512e+04 -2.565697104719095660e+04 9.250000000000000444e-01
-2.565697104719095660e+04 9.304506736789062415e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -2.553096483828810960e+04 -2.553707005257479977e+04 6.800000000000000488e-01
-2.553707005257479977e+04 1.084665660181923386e+02 -1.150000000000000605e-01 4.000000000000000000e+02 -2.549246818403352154e+04 -2.549857589832021404e+04 1.520000000000000018e+00
-2.549857589832021404e+04 1.861002311834882406e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -2.536512587535240164e+04 -2.537123608963909282e+04 8.199999999999999512e-01
-2.537123608963909282e+04 6.476943742054066888e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -2.512945506904554350e+04 -2.513556778333223338e+04 1.800000000000000044e+00
-2.513556778333223338e+04 1.455305487485281617e+02 -1.225000000000000672e-01 4.000000000000000000e+02 -2.507570773053100129e+04 -2.508182294481769350e+04 2.099999999999999922e-01
-2.508182294481769350e+04 1.195404242872327814e+02 -1.250000000000000555e-01 4.000000000000000000e+02 -2.501425331905938219e+04 -2.502037103334607309e+04 9.100000000000000311e-01
-2.502037103334607309e+04 1.225580312840761650e+02 -1.275000000000000577e-01 4.000000000000000000e+02 -2.497987289964941010e+04 -2.498599311393609969e+04 1.100000000000000006e-01
-2.498599311393609969e+04 1.064844260509145357e+02 -1.300000000000000600e-01 4.000000000000000000e+02 -2.495037594558419732e+04 -2.495649865987088924e+04 1.905000000000000027e+00
-2.495649865987088924e+04 1.986542883901507039e+01 -1.325000000000000622e-01 4.000000000000000000e+02 -2.491505330980113285e+04 -2.492117852408782346e+04 1.250000000000000000e+00
-2.492117852408782346e+04 2.801381892974175614e+01 -1.350000000000000644e-01 4.000000000000000000e+02 -2.484782600225789065e+04 -2.485395371654458359e+04 9.000000000000000222e-01
-2.485395371654458359e+04 4.291696383565356854e+01 -1.375000000000000666e-01 4.000000000000000000e+02 -2.481668259741110523e+04 -2.482281281169779686e+04 1.179999999999999938e+00
-2.482281281169779686e+04 2.814910500116185688e+01 -1.400000000000000688e-01 4.000000000000000000e+02 -2.478686669042689027e+04 -2.479299940471358059e+04 2.500000000000000000e-01
-2.479299940471358059e+04 3.542667352347714882e+01 -1.425000000000000711e-01 4.000000000000000000e+02 -2.446470971286093118e+04 -2.447084492714762382e+04 1.114999999999999991e+00
-2.447084492714762382e+04 9.012706430939741153e+01 -1.450000000000000733e-01 4.000000000000000000e+02 -2.431457984496591234e+04 -2.432071755925260368e+04 1.104999999999999982e+00
-2.432071755925260368e+04 6.471874636517712531e+01 -1.475000000000000755e-01 4.000000000000000000e+02 -2.423822252679031226e+04 -2.424436274107700228e+04 4.050000000000000266e-01
-2.424436274107700228e+04 7.804162347490338902e+01 -1.500000000000000777e-01 4.000000000000000000e+02 -2.421297717228005786e+04 -2.421911988656675021e+04 1.169999999999999929e+00
-2.421911988656673930e+04 3.822830385440362022e+01 -1.525000000000000799e-01 4.000000000000000000e+02 -2.410872919790634478e+04 -2.411487441219303582e+04 5.699999999999999512e-01
-2.411487441219303582e+04 6.474217959174070813e+01 -1.550000000000000822e-01 4.000000000000000000e+02 -2.357292690253200271e+04 -2.357907461681869245e+04 3.300000000000000155e-01
-2.357907461681869245e+04 2.893241427246358057e+02 -1.575000000000000844e-01 4.000000000000000000e+02 -2.355027822622403619e+04 -2.355642844051072825e+04 1.419999999999999929e+00
-2.355642844051058273e+04 2.484199104563880951e+02 -1.600000000000000866e-01 4.000000000000000000e+02 -2.351229712704483245e+04 -2.351844984133152320e+04 9.150000000000000355e-01
-2.351844984133152320e+04 1.702297662460024341e+01 -1.625000000000000888e-01 4.000000000000000000e+02 -2.345960172013404008e+04 -2.346575693442073316e+04 2.899999999999999800e-01
-2.346575693442073316e+04 2.531594289163114198e+01 -1.650000000000000910e-01 4.000000000000000000e+02 -2.321219454672323627e+04 -2.321835226100992804e+04 8.149999999999999467e-01
-2.321835226100992804e+04 1.166100400764674845e+02 -1.675000000000000933e-01 4.000000000000000000e+02 -2.306713829270544011e+04 -2.307329850699213057e+04 1.014999999999999902e+00
-2.307329850699213057e+04 1.406261329551220172e+02 -1.700000000000000955e-01 4.000000000000000000e+02 -2.284164873199919020e+04 -2.284781144628588299e+04 1.239999999999999991e+00
-2.284781144628588299e+04 1.303608794030793092e+02 -1.725000000000000977e-01 4.000000000000000000e+02 -2.273639907738733746e+04 -2.274256429167402894e+04 2.700000000000000178e-01
-2.274256429167402894e+04 1.224182106939118597e+02 -1.750000000000000999e-01 4.000000000000000000e+02 -2.265127680840920584e+04 -2.265744452269589601e+04 2.099999999999999922e-01
-2.265744452269589601e+04 5.863288603637456475e+01 -1.775000000000001021e-01 4.000000000000000000e+02 -2.263556197778226124e+04 -2.264173219206895374e+04 1.014999999999999902e+00
