weight logl amplitude offset frequency phase
0.000000000000000000e+00 -1.893769558412142487e+03 9.149877038764953063e-01 4.791487236533586991e-02 4.851891932640338689e-01 8.049634034604014055e-01
0.000000000000000000e+00 -1.782582483220699942e+03 9.946871964537602473e-01 3.215104366204102337e-02 9.251991209642030922e-01 1.541770153126947873e-01
0.000000000000000000e+00 -1.735857469922869313e+03 9.767731406668082039e-01 2.928804152165571661e-01 9.385201265981288898e-01 8.676686221177624114e-01
0.000000000000000000e+00 -1.724778221191556668e+03 8.470734953327235806e-01 1.669476694975663422e-01 4.701368860150393347e-01 6.380330411234121923e-01
0.000000000000000000e+00 -1.662265014002966154e+03 7.930792948901864703e-01 1.664579072097124302e-01 4.402460906487049019e-01 7.738877145082292408e-01
0.000000000000000000e+00 -1.621311073393995912e+03 8.654315829888543643e-01 2.916812218848641169e-01 4.387888529021721773e-01 7.304544760892403010e-01
0.000000000000000000e+00 -1.617281802076441409e+03 9.508489832004805020e-01 7.938482733699054883e-01 4.847189480075744239e-01 7.040632589785829065e-01
0.000000000000000000e+00 -1.424567423189859483e+03 9.758656557690152944e-01 9.036364936720491237e-01 1.154354874947739473e-01 1.957962034745307500e-01
0.000000000000000000e+00 -1.414517183927927363e+03 8.939061013425136926e-01 7.709999925218991024e-02 9.227154771184034043e-01 7.065258301021498655e-01
0.000000000000000000e+00 -1.370467906514761125e+03 9.743578518218900530e-01 7.388644078504800206e-01 6.285988042769247164e-01 2.265318568429696144e-01
0.000000000000000000e+00 -1.370165840917546348e+03 7.560069145144351355e-01 1.828030326973351105e-02 5.371453464176334514e-01 7.237796117931425410e-01
0.000000000000000000e+00 -1.357929652219924037e+03 7.206776678463497898e-01 2.995587721665381453e-01 9.917182689507395565e-01 7.658681694095229586e-01
0.000000000000000000e+00 -1.306064903866303666e+03 7.570961984988917592e-01 4.060845551284442134e-02 5.533008114371048558e-01 6.624860377166341685e-01
0.000000000000000000e+00 -1.305627415370410745e+03 7.667706360095217777e-01 7.541618201270350319e-02 1.552021158789029798e-01 5.515277149853436978e-01
0.000000000000000000e+00 -1.301692488084823708e+03 9.704472534199251044e-01 8.766544279977335208e-01 1.562678585870894699e-01 8.842617536539816303e-01
0.000000000000000000e+00 -1.282246043595691617e+03 8.900253623373869383e-01 9.414036734062557477e-01 5.669131906023489043e-01 5.941309181691031283e-01
0.000000000000000000e+00 -1.278627353949811777e+03 8.182453534521887395e-01 7.242832520038244848e-02 8.949724521276567479e-01 2.095919010838593888e-01
0.000000000000000000e+00 -1.261679953353709152e+03 9.316728204665428725e-01 8.463573418448339103e-01 4.180843562055526208e-01 6.799154324120431081e-01
0.000000000000000000e+00 -1.258262232004766020e+03 8.243195451610771940e-01 8.284385660610094071e-02 6.708788945346321198e-01 7.941039838660094441e-01
0.000000000000000000e+00 -1.256985181700775229e+03 7.636694790332637650e-01 1.417616692441320270e-01 8.923264162854821491e-01 9.621773510484015191e-01
0.000000000000000000e+00 -1.244114136315506585e+03 7.874376484545008159e-01 2.080273334062374690e-01 4.918354450692657975e-01 4.871882578444123313e-01
0.000000000000000000e+00 -1.227101161986613988e+03 8.852252194378293915e-01 3.330873678121604176e-02 2.212084903514555112e-01 2.738220185869714163e-01
0.000000000000000000e+00 -1.220484602126348591e+03 9.103795593265912034e-01 1.871669390581446324e-01 6.763321094134189249e-01 2.885048466241082465e-01
0.000000000000000000e+00 -1.203572597789168640e+03 9.038021146236943082e-01 1.445877848221280848e-01 1.567288692315704779e-04 7.722666380408133024e-01
0.000000000000000000e+00 -1.189631228416361409e+03 8.237427390856154608e-01 4.555020024499351061e-01 5.320381535027830511e-01 5.395048971234520652e-01
0.000000000000000000e+00 -1.183393328493949639e+03 9.808213844284578986e-01 3.805306307089170170e-01 6.499222276719448521e-01 1.765816804645192750e-02
0.000000000000000000e+00 -1.175645205260690773e+03 7.949065293825420264e-01 9.428604551353030327e-01 8.405738235698233529e-01 1.141720518657632910e-01
0.000000000000000000e+00 -1.173290778391866752e+03 9.642811098358343713e-01 5.467082861444491071e-01 5.891598734729387443e-01 5.346499767100737488e-01
0.000000000000000000e+00 -1.171488931333929941e+03 9.169467184593036446e-01 5.926604651366113030e-01 5.341222390275385257e-01 7.653321902066514415e-01
0.000000000000000000e+00 -1.167110780794381753e+03 5.568384260707346378e-01 8.683116610436636407e-02 4.424643541096658916e-01 7.029215449720919162e-01
0.000000000000000000e+00 -1.161253411253942886e+03 7.635265286744271629e-01 7.975040786443994278e-01 4.578974483461083489e-01 8.389241688963200438e-01
0.000000000000000000e+00 -1.149070327787812403e+03 8.719360951247376867e-01 8.690341982861864434e-01 5.706116596244676931e-01 3.010139151506604493e-01
0.000000000000000000e+00 -1.146671795965778074e+03 7.306075746105779034e-01 5.639928925843693541e-01 7.128319939180853826e-01 7.602640980378574387e-01
0.000000000000000000e+00 -1.127533514785116267e+03 8.261678937624685748e-01 8.647261468179092692e-01 9.761137428097977908e-01 6.395436934806048024e-01
0.000000000000000000e+00 -1.109051199260681642e+03 8.476910852964196774e-01 7.552706263341651960e-01 4.807891741838409283e-01 8.618449651070759776e-01
0.000000000000000000e+00 -1.101226598595855194e+03 7.014942481989258072e-01 2.581138016972126525e-01 4.289363268680154162e-01 9.508289350841789833e-01
0.000000000000000000e+00 -1.098135017178161661e+03 5.551449527311121956e-01 2.672628106204033571e-02 3.987337826707750832e-01 9.829841192794858129e-01
0.000000000000000000e+00 -1.082850986172740249e+03 9.847977777738460281e-01 5.472141950832778434e-01 9.576933344759752664e-02 2.087599467483431948e-01
0.000000000000000000e+00 -1.082297560617714225e+03 9.413207819638124141e-01 1.616514793708480058e-01 2.454162580624671408e-01 2.812100182767804935e-01
0.000000000000000000e+00 -1.077585455825791996e+03 4.650997028128632804e-01 6.009025308604964977e-02 4.955045013294357981e-01 6.811370837492156660e-01
0.000000000000000000e+00 -1.073042881215422995e+03 9.673676750635746835e-01 8.670969429068802192e-01 7.799260794563334098e-02 3.210152897703629771e-01
0.000000000000000000e+00 -1.068494527620847521e+03 4.875946424343519103e-01 2.025719671498493746e-02 5.273740252421915686e-01 5.038145089114995923e-01
0.000000000000000000e+00 -1.066223516678653823e+03 6.443381299334126622e-01 3.541741889497277418e-01 9.951778452283691623e-01 6.805738341389776513e-01
0.000000000000000000e+00 -1.064471495605457449e+03 7.876801798009106514e-01 2.329467318153419786e-01 9.587522607412876097e-01 6.314792224420712197e-01
0.000000000000000000e+00 -1.064080023598420667e+03 6.999281658017529884e-01 2.645505965876260301e-02 1.888639499580072600e-01 2.790325582321721010e-01
0.000000000000000000e+00 -1.059453650925413285e+03 9.355178310876516301e-01 8.244225270222665936e-01 6.350991066691769049e-02 5.421139755235885316e-01
0.000000000000000000e+00 -1.051002497161543033e+03 6.952442443512701908e-01 4.072744525791861525e-01 4.955735262636737914e-01 5.609559067300357027e-01
0.000000000000000000e+00 -1.045279775606534713e+03 9.617627634150879290e-01 1.566391186762590149e-01 7.846465971600276035e-01 8.378911662999661836e-01
0.000000000000000000e+00 -1.042510981390536926e+03 8.531542193526283624e-01 1.788713463831824724e-01 7.245607825733735297e-02 1.184561167866751141e-01
0.000000000000000000e+00 -1.039363338591367665e+03 6.070299499273394961e-01 1.530302053678760377e-01 4.637512520192289545e-01 5.840484503188831944e-01
0.000000000000000000e+00 -1.030413302024703171e+03 8.518154384825429304e-01 3.324578039055124945e-01 1.295531207518445527e-01 8.081222948453347099e-01
0.000000000000000000e+00 -1.028704075075909714e+03 8.672166705131164610e-01 7.136760110658343370e-01 1.948547380616274527e-01 7.173640028682564118e-01
