logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.893769558412142487e+03 -1.899762272698833840e+03 5.450000000000000400e-01
-1.899762272698833840e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.782582483220699942e+03 -1.788577697507391349e+03 1.044999999999999929e+00
-1.788577697507391349e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.735857469922869313e+03 -1.741855184209560548e+03 1.110000000000000098e+00
-1.741855184209560548e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -1.724778221191556668e+03 -1.730778435478247957e+03 5.550000000000000488e-01
-1.730778420010546142e+03 nan -1.000000000000000021e-02 4.000000000000000000e+02 -1.662265014002966154e+03 -1.668267728289657498e+03 9.849999999999999867e-01
-1.668267728289657498e+03 2.686335870139142301e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -1.621311073393995912e+03 -1.627316287680687310e+03 1.899999999999999911e+00
-1.627316287680687310e+03 1.405842651083659245e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -1.617281802076441409e+03 -1.623289516363132634e+03 1.814999999999999947e+00
-1.623271841674406460e+03 2.238851940204983570e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -1.424567423189859483e+03 -1.430577637476550763e+03 7.750000000000000222e-01
-1.430577637476550763e+03 8.368473543183011998e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.414517183927927363e+03 -1.420529898214618697e+03 1.524999999999999911e+00
-1.420529854932064154e+03 5.605893696690530703e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.370467906514761125e+03 -1.376483120801452515e+03 1.830000000000000071e+00
-1.376483120801452515e+03 2.365113888507709916e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -1.370165840917546348e+03 -1.376183555204237564e+03 1.760000000000000009e+00
-1.375629015073347318e+03 1.885872036707398536e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.357929652219924037e+03 -1.363949866506615308e+03 6.450000000000000178e-01
-1.363949858038078446e+03 1.844576716584354159e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.306064903866303666e+03 -1.312087618152994992e+03 1.250000000000000000e+00
-1.312087618152994992e+03 2.453947859221790395e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.305627415370410745e+03 -1.311652629657102125e+03 7.099999999999999645e-01
-1.311153509001992461e+03 1.566197253406597945e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.301692488084823708e+03 -1.307720202371514915e+03 8.449999999999999734e-01
-1.307688432398250143e+03 1.481640859522868947e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -1.282246043595691617e+03 -1.288276257882382879e+03 5.600000000000000533e-01
-1.288276257878672595e+03 8.688986192431032762e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -1.278627353949811777e+03 -1.284660068236503093e+03 4.550000000000000155e-01
-1.284633538363687421e+03 6.911928416965614552e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -1.261679953353709152e+03 -1.267715167640400523e+03 5.150000000000000133e-01
-1.267715167595479897e+03 1.282557308026327547e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -1.258262232004766020e+03 -1.264299946291457445e+03 6.250000000000000000e-01
-1.264267605796832868e+03 1.839527267161293445e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -1.256985181700775229e+03 -1.263025395987466482e+03 1.495000000000000107e+00
-1.262771726769410861e+03 1.701755285475491375e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -1.244114136315506585e+03 -1.250156850602197892e+03 8.000000000000000167e-02
-1.250156847279979502e+03 5.048006038893808167e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -1.227101161986613988e+03 -1.233146376273305350e+03 1.764999999999999902e+00
-1.233146376232337161e+03 9.056847764384743371e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -1.220484602126348591e+03 -1.226532316413040007e+03 1.375000000000000000e+00
-1.226530975936541608e+03 9.215298371006314326e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -1.203572597789168640e+03 -1.209622812075859883e+03 1.364999999999999991e+00
-1.209622812030478599e+03 1.227912264230153561e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -1.189631228416361409e+03 -1.195683942703052708e+03 1.049999999999999961e-01
-1.195683941819106622e+03 1.311361979850550341e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -1.183393328493949639e+03 -1.189448542780640992e+03 1.389999999999999902e+00
-1.189446585849277881e+03 5.867099285858303759e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -1.175645205260690773e+03 -1.181702919547382180e+03 1.905000000000000027e+00
-1.181702486161915431e+03 9.875338342634607525e-01 -6.750000000000001832e-02 4.000000000000000000e+02 -1.173290778391866752e+03 -1.179350992678557986e+03 1.584999999999999964e+00
-1.179260031180336000e+03 1.422315854856098793e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -1.171488931333929941e+03 -1.177551645620621230e+03 1.594999999999999973e+00
-1.177385150285861300e+03 1.751926419338851293e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -1.167110780794381753e+03 -1.173175995081073097e+03 3.900000000000000133e-01
-1.173161245477473813e+03 3.481033550225513640e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -1.161253411253942886e+03 -1.167321125540634284e+03 1.939999999999999947e+00
-1.167318221268349589e+03 5.016476060275931736e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -1.149070327787812403e+03 -1.155140542074503628e+03 1.514999999999999902e+00
-1.155140536930514827e+03 9.006771356184072985e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -1.146671795965778074e+03 -1.152744510252469354e+03 4.849999999999999867e-01
-1.152657343025819500e+03 9.595037760689415052e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -1.127533514785116267e+03 -1.133608729071807602e+03 5.849999999999999645e-01
-1.133608729066470687e+03 1.354043956547505623e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -1.109051199260681642e+03 -1.115128913547373031e+03 1.049999999999999961e-01
-1.115128913537947255e+03 2.070712949640209999e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -1.101226598595855194e+03 -1.107306812882546410e+03 1.250000000000000000e+00
-1.107306412183937255e+03 1.368131509009520030e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -1.098135017178161661e+03 -1.104217731464852932e+03 4.050000000000000266e-01
-1.104173176902115529e+03 4.079658204650337794e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -1.082850986172740249e+03 -1.088936200459431575e+03 9.300000000000000488e-01
-1.088936200218071690e+03 9.500361709513196473e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -1.082297560617714225e+03 -1.088385274904405605e+03 1.929999999999999938e+00
-1.087930120862964941e+03 8.614782864236993021e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -1.077585455825791996e+03 -1.083675670112483203e+03 1.405000000000000027e+00
-1.083661569112108964e+03 8.903314294704303578e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -1.073042881215422995e+03 -1.079135595502114256e+03 1.945000000000000062e+00
-1.079124829493339803e+03 5.127200909991520561e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -1.068494527620847521e+03 -1.074589741907538837e+03 9.549999999999999600e-01
