amplitude offset frequency phase
1.570088556124752177e+00 2.175077968762577640e-01 5.815541161534660830e+00 2.057176305826615703e+00
1.576032753954378363e+00 2.326136030314613912e-01 5.823528120224686688e+00 1.987941975381087634e+00
1.750057891729946746e+00 1.551712034287331399e-01 3.211361935969477166e+00 1.051267247302448027e+00
1.737653235791547734e+00 3.267690372802967147e-01 5.763686498955193471e+00 2.184327234090891245e+00
1.514403049918696009e+00 1.424134688790807957e-01 3.229847138803457529e+00 8.704969820062937735e-01
1.828414760200661959e+00 2.905768503061043617e-01 3.220341816412879865e+00 1.023313014635375717e+00
1.753909180242775534e+00 2.700605440112742173e-01 5.784641153282175985e+00 2.072571076833919168e+00
1.816895549892171946e+00 1.953609034174346171e-01 3.178810531079932389e+00 1.083372522401763849e+00
1.685281803536302414e+00 3.205044080528174355e-01 5.873807261886811126e+00 1.898066905286433181e+00
1.626310760778355791e+00 3.035338840960100093e-01 5.880436450108104118e+00 1.907338303600405016e+00
1.576556526310652906e+00 3.221735894678809942e-01 3.141181139201639549e+00 1.286805368116550552e+00
1.647330319653587782e+00 1.870070239746324248e-01 5.759382566966094075e+00 2.202531403604741644e+00
1.725305477912516317e+00 1.991397590899257608e-01 3.249378983478042215e+00 8.526497254068697851e-01
1.623093411766421967e+00 9.998319994726667659e-02 5.816584923195432744e+00 2.156668868621555823e+00
1.646343290017204364e+00 2.228905721894092196e-01 5.863485504013572047e+00 1.908896733933274747e+00
1.659159087802986043e+00 1.879680230226394855e-01 5.837505347838163772e+00 1.974501584007988475e+00
1.820556478741140349e+00 2.203933859529194628e-01 5.787778084317524829e+00 2.112984634167690334e+00
1.791841945646046597e+00 1.417100000282589534e-01 5.796903725508443905e+00 2.070261301115350783e+00
1.689048816339157266e+00 2.363419221983504848e-01 5.811766641336499006e+00 2.067713178508459926e+00
1.693288876702206958e+00 2.979172125119480263e-01 3.211235462771894866e+00 9.994206239442867679e-01
1.786701433777923009e+00 1.843707847029389946e-01 5.833984011239654599e+00 1.944182754316789330e+00
1.681722346579507033e+00 1.447704778946223847e-01 3.232205876459860683e+00 9.121008529784382368e-01
1.606124940712853721e+00 2.043078672353426661e-01 5.852701509213835251e+00 1.914054149087143442e+00
1.681119495440822398e+00 1.318963196886109301e-01 3.210729819659378315e+00 9.043058491974423907e-01
1.860330764803396431e+00 1.604604666314326522e-01 5.766254362847115900e+00 2.126295725471434306e+00
1.474675251240668894e+00 3.271503664425967628e-01 5.861941523432552259e+00 1.943155329804753695e+00
1.896535553414223862e+00 4.237041378286923177e-01 5.818644255019185252e+00 2.077375616666900626e+00
1.709544854238247646e+00 1.777029713360156471e-01 3.180951178673803614e+00 1.122892456681046536e+00
1.588989411202818669e+00 1.497284283976267893e-01 3.208366592126582262e+00 1.209846621099519570e+00
1.741549695424952304e+00 2.106141360405553442e-01 5.815859511537326831e+00 1.951749194465743020e+00
2.131821666689538652e+00 1.511891324826355465e-01 3.188316276223865042e+00 1.095007873391738551e+00
1.752057823546848248e+00 4.318617827419846122e-01 3.218616669573900246e+00 9.885532129423560965e-01
1.629689536771615099e+00 2.418426052691646788e-01 5.779528166346295848e+00 2.146669042989311826e+00
