weight logl location amplitude width
0.000000000000000000e+00 -2.063296142440463882e+03 5.541551434121688544e+02 3.351984496819088832e+01 5.859697693337368563e+00
0.000000000000000000e+00 -1.928929945211231143e+03 6.160838385813644891e+02 5.362942854737976006e+01 1.959136199482379492e+00
0.000000000000000000e+00 -1.904914302344445332e+03 7.516336350151991610e+02 4.904854331907390019e+01 2.247822493193604831e+00
0.000000000000000000e+00 -1.864237766105015453e+03 5.164457351939694263e+02 2.523199922351884794e+01 1.254467347181194370e+01
0.000000000000000000e+00 -1.852596212574166429e+03 4.036841435835813741e+02 2.391015761449861898e+01 1.286250548657272397e+01
0.000000000000000000e+00 -1.828254250033745393e+03 6.417835615092235457e+02 5.316814384071285104e+01 1.536488105152568950e+00
0.000000000000000000e+00 -1.827853402199039465e+03 6.415499410265233564e+02 4.760622886934493891e+01 2.332125983766602406e+00
0.000000000000000000e+00 -1.800821353983023300e+03 4.497246636433679328e+02 6.324396318367955416e+01 1.044614765658500533e+00
0.000000000000000000e+00 -1.775410832388176459e+03 5.851792831442602392e+02 5.094293188877610135e+01 1.697633795261140444e+00
0.000000000000000000e+00 -1.497883103024441425e+03 7.544990349927734314e+02 2.049763705482354936e+01 8.760330840457449142e+00
0.000000000000000000e+00 -1.387580658052641184e+03 5.840494477619788540e+02 3.384705312561879964e+01 2.998437741698281478e+00
0.000000000000000000e+00 -1.334720396427896048e+03 5.170249295176291753e+02 1.282340837084561613e+01 3.811666741002348857e+01
0.000000000000000000e+00 -1.326942208979476845e+03 7.379349805732654204e+02 2.321259572894761902e+01 5.920641464202733850e+00
0.000000000000000000e+00 -1.316374382448236247e+03 6.882244069372995909e+02 4.869473472797138669e+01 1.409333653495457694e+00
0.000000000000000000e+00 -1.263535283742574393e+03 4.222772893680153743e+02 2.153441956522127754e+01 6.617190156926518796e+00
0.000000000000000000e+00 -1.238022173684016707e+03 5.141122669299193149e+02 4.135765827557743535e+01 5.525606321460438952e-01
0.000000000000000000e+00 -1.233001530989322873e+03 7.178658648297821401e+02 3.171557296467432607e+01 2.982581210146635353e+00
0.000000000000000000e+00 -1.187770853599278553e+03 4.433109487831386559e+02 4.003797356253220130e+01 1.068821161289668087e+00
