weight logl location amplitude width
0.000000000000000000e+00 -4.230920554905119934e+05 7.916319367941694329e-01 9.811006445578149826e-01 9.971834284031310114e-01
0.000000000000000000e+00 -4.806461954126650380e+04 9.224523928265162542e-01 9.340302464858085685e-01 9.602420873023077563e-01
0.000000000000000000e+00 -3.311406723716446140e+04 3.822945558926476028e-01 8.429754472381963959e-01 9.812088679733336205e-01
0.000000000000000000e+00 -2.736829386504071954e+04 4.819568044089135306e-01 9.786939547524522443e-01 8.718466531996804658e-01
0.000000000000000000e+00 -2.107054239320855413e+04 9.537888526890546670e-01 8.359355145210515259e-01 9.828405360454114392e-01
0.000000000000000000e+00 -1.916191731516754226e+04 7.318808837722574623e-01 9.644579702727322790e-01 8.571009933896550637e-01
0.000000000000000000e+00 -1.674769176654524199e+04 5.990943262335177710e-01 9.939532180799969252e-01 7.964575397157171999e-01
0.000000000000000000e+00 -9.882624960090459354e+03 2.731088622163412305e-01 9.760148980912911609e-01 7.819857556165508150e-01
0.000000000000000000e+00 -9.260797736636493937e+03 6.407722468851839714e-02 7.583805626127054778e-01 9.881732823222575401e-01
0.000000000000000000e+00 -8.801059378067857324e+03 3.241515607841165547e-01 9.626301120431945968e-01 7.675027590449068349e-01
0.000000000000000000e+00 -8.410464097436379234e+03 7.869587779123841109e-01 8.356937275580843538e-01 9.284672239547351325e-01
0.000000000000000000e+00 -7.419541835592508505e+03 3.020888201666531714e-01 7.552337609180652667e-01 9.759469239421839637e-01
0.000000000000000000e+00 -6.990566914011506924e+03 5.877305523587048608e-01 9.196284690534010098e-01 8.099174103533118840e-01
0.000000000000000000e+00 -6.155739114558251458e+03 8.496843943993748205e-02 8.938223445301208825e-01 8.304432260740802763e-01
0.000000000000000000e+00 -5.462343153194594379e+03 8.919221802363042073e-01 8.478885562187621350e-01 8.809024554671354146e-01
0.000000000000000000e+00 -5.331164695403669612e+03 8.133150906202748498e-01 9.930871839354965536e-01 6.161025630661948194e-01
0.000000000000000000e+00 -5.192415302165653884e+03 8.392389221558060886e-02 9.952920143181872570e-01 4.063545135185263613e-01
0.000000000000000000e+00 -4.958968796251181629e+03 3.209062052273050636e-01 9.820130995358968828e-01 6.353125839115787432e-01
0.000000000000000000e+00 -4.721893375597039267e+03 5.978698401765399906e-01 8.335824319241695868e-01 8.875516695677320156e-01
0.000000000000000000e+00 -4.280684295186118106e+03 3.061664174555908113e-01 9.317847263567083926e-01 7.148864672659145381e-01
0.000000000000000000e+00 -3.544025372116379003e+03 3.682952518131329400e-01 9.785378481672220019e-01 5.469935362755381503e-01
0.000000000000000000e+00 -3.457604917840621965e+03 3.111223012890164119e-01 9.637939242278530383e-01 4.029838151557387782e-01
0.000000000000000000e+00 -3.409248044005913471e+03 3.680609486818805509e-01 9.387373707239283771e-01 6.630529105497542375e-01
0.000000000000000000e+00 -3.293191641728988543e+03 7.255334426796438141e-01 8.239198070037921928e-01 8.627247225424838906e-01
0.000000000000000000e+00 -3.210912753702568352e+03 5.444348022620533190e-01 8.892460757776577962e-01 7.556710122184259193e-01
0.000000000000000000e+00 -3.167227420071635606e+03 7.574199309961953119e-01 9.994368739270221846e-01 4.030448716908231477e-01
0.000000000000000000e+00 -3.124766399463076141e+03 6.263315999132086365e-01 9.512119405592989185e-01 6.245407613555084003e-01
0.000000000000000000e+00 -2.954007251283192545e+03 9.016147143485031545e-02 6.269348541559653931e-01 9.967245108123675701e-01
0.000000000000000000e+00 -2.840522064387317187e+03 2.276444935830751470e-01 8.963446901840949055e-01 7.613940437218309487e-01
0.000000000000000000e+00 -2.628863347451701429e+03 1.469745194193132765e-01 7.357108343144096452e-01 9.455605898947126997e-01
0.000000000000000000e+00 -2.525590335258392770e+03 5.518237302251027820e-01 8.086865386972507119e-01 8.535018894108459264e-01
0.000000000000000000e+00 -2.504240226429502854e+03 8.761874670397810094e-01 9.076846229621782225e-01 6.685228069737197965e-01
0.000000000000000000e+00 -2.063296142440463882e+03 3.853878585304220117e-01 8.417673337727252791e-01 7.787193370409040138e-01
0.000000000000000000e+00 -1.928929945211231143e+03 5.402095964534113781e-01 9.098010564428333780e-01 6.148813950355970226e-01
0.000000000000000000e+00 -1.904914302344445332e+03 8.790840875379978270e-01 8.968753712999392169e-01 6.374916252707084618e-01
0.000000000000000000e+00 -1.864237766105015453e+03 2.911143379849234769e-01 8.006505542066646441e-01 8.639980231652972797e-01
0.000000000000000000e+00 -1.852596212574166429e+03 9.210358958953501762e-03 7.928608129905141411e-01 8.663551215667626426e-01
0.000000000000000000e+00 -1.828254250033745393e+03 6.044589037730589975e-01 9.085504996244613274e-01 5.739851097873083230e-01
0.000000000000000000e+00 -1.827853402199039465e+03 6.038748525663083511e-01 8.925545933900487228e-01 6.434709213793355920e-01
0.000000000000000000e+00 -1.800821353983023300e+03 1.243116591084197919e-01 9.336730257272072286e-01 5.075619609377317598e-01
0.000000000000000000e+00 -1.775410832388176459e+03 4.629482078606506068e-01 9.023613120144302613e-01 5.908935083601102312e-01
0.000000000000000000e+00 -1.497883103024441425e+03 8.862475874819335520e-01 7.705679329828234447e-01 8.270368917196649905e-01
0.000000000000000000e+00 -1.387580658052641184e+03 4.601236194049470596e-01 8.431736210218843119e-01 6.832815664346878481e-01
0.000000000000000000e+00 -1.334720396427896048e+03 2.925623237940728760e-01 7.026678243046902139e-01 9.430741183570331421e-01
0.000000000000000000e+00 -1.326942208979476845e+03 8.448374514331636886e-01 7.885745692619227087e-01 7.800519751590258011e-01
0.000000000000000000e+00 -1.316374382448236247e+03 7.205610173432489551e-01 8.958273347634648776e-01 5.592286370476542423e-01
0.000000000000000000e+00 -1.263535283742574393e+03 5.569322342003846238e-02 7.777110567876330816e-01 7.940838981649444017e-01
