location amplitude width
5.001307826717373928e+02 1.938458258019155167e+01 4.109679229751715290e+00
5.000284044099982452e+02 1.946476595524512021e+01 4.618283555183411160e+00
5.001707440912344964e+02 1.928806735972873909e+01 4.301498822923410792e+00
5.003047782902337985e+02 2.006887770698362061e+01 4.367965598395680438e+00
5.000522147005576699e+02 1.998422235929030322e+01 3.946383076409794910e+00
5.000454349159231242e+02 1.921946729987118729e+01 3.867955507445078656e+00
4.998096789216511979e+02 2.020482876286794749e+01 4.274515090322761779e+00
4.999751546873864640e+02 2.003869029591500706e+01 3.956637770115319253e+00
5.001442024297166427e+02 1.799641783890004376e+01 4.025409972480479048e+00
4.998078171195888899e+02 1.947172852853825376e+01 4.272001494990220749e+00
4.999651471084838477e+02 1.910874449680380849e+01 4.202980749381214132e+00
4.999528490820218849e+02 1.935277607629916474e+01 4.091673333345242192e+00
4.997981529788162334e+02 1.990414052898741559e+01 4.079389431851659253e+00
5.000220434150447772e+02 1.925365451195357025e+01 3.861554339214232190e+00
4.998305160722994742e+02 2.019675080783343901e+01 3.952948683200250724e+00
4.998832240627582451e+02 1.941439161193025953e+01 4.136284880867036051e+00
5.002541722957695356e+02 1.987066998749437019e+01 4.164056196884643235e+00
4.999871830949811624e+02 1.881320131656269012e+01 4.365857969543515793e+00
5.000860805957584034e+02 2.041076292015237925e+01 3.911574985544949090e+00
5.003269031049500200e+02 2.009335189285376089e+01 3.778507101945911995e+00
4.999607117740004014e+02 1.878170741563573287e+01 4.385632646414189928e+00
4.998974625349100052e+02 1.802952904962373992e+01 4.392664241207892672e+00
4.998993245608593270e+02 1.752471560622015900e+01 4.222488186602050497e+00
4.998726763254054504e+02 2.003556697786915208e+01 3.831922098751140648e+00
4.996630392718601570e+02 1.769969800927121995e+01 4.500067822832105158e+00
4.999525640152879760e+02 1.927860131511983965e+01 4.102631004601826170e+00
4.998442493965022777e+02 2.127443524387902585e+01 4.033382481691664800e+00
5.004394242447513079e+02 1.854602636679579675e+01 4.231510349012858718e+00
5.003026498344680704e+02 1.986064667926143557e+01 4.276957061108234370e+00
4.997222818212400171e+02 1.885862195418885534e+01 4.129045389383129816e+00
5.003005623582046155e+02 1.986624254088750163e+01 3.971955465686452413e+00
5.000445580546039537e+02 1.884754242492222431e+01 4.394399315210820056e+00
4.998664492692487897e+02 2.055045258407351483e+01 3.701204377360882702e+00
5.000206679029348038e+02 1.927734031359977251e+01 4.157985029654041043e+00
5.002573337417566108e+02 1.936985068239031449e+01 4.302941090705286520e+00
4.996778219370400507e+02 1.996730037012592973e+01 4.273330655730656069e+00
4.998768166734012652e+02 1.979945996598801017e+01 4.324030143180766395e+00
5.002806808850293123e+02 1.894536777596938748e+01 4.322757440151852926e+00
4.996421874485361059e+02 1.943322543911611433e+01 4.357822831674689645e+00
5.001719307620702466e+02 1.947103012491733054e+01 4.009972485525153729e+00
5.000935247848690324e+02 1.851108887738175568e+01 3.997797559117289179e+00
4.996695855974684264e+02 2.022942869027257373e+01 4.096253938705806341e+00
4.999465727162846633e+02 1.870630731702044613e+01 4.329972412096458001e+00
4.997892229948731142e+02 1.985001529260743425e+01 3.954082917198035396e+00
4.999004112267757591e+02 2.010852718600456157e+01 3.840816036207748141e+00
5.000039871674132428e+02 1.962461096484407719e+01 4.273466652623101325e+00
4.995389323555044143e+02 1.957759756645128846e+01 4.273967490377693856e+00
4.998450558558022294e+02 2.053883710675814456e+01 3.958119894866638511e+00
5.002229737989334808e+02 1.877528703905894147e+01 4.092022431132221527e+00
5.002246930642062352e+02 1.849281317848539885e+01 4.472824620229461701e+00
5.001424566622529255e+02 2.048906467106737495e+01 4.081243748799583848e+00
5.003070770626889043e+02 1.873184294922913651e+01 4.487280373215366325e+00
4.999624224799117087e+02 1.977522408293647871e+01 3.761150800430465235e+00
4.998425811656044289e+02 1.918120985089658959e+01 4.002123135027517264e+00
4.997841458505353671e+02 1.996941467472358056e+01 4.010441418269473424e+00
4.997860330323094331e+02 1.992436320031244534e+01 4.414812269206897177e+00
4.999153832151562256e+02 1.975016706805581634e+01 4.056676154114562394e+00
4.995179834785911908e+02 1.948676043162837601e+01 4.169603419064112693e+00
4.999935477992580672e+02 1.940390643786409797e+01 4.353333696961119159e+00
5.001719307620702466e+02 1.947103012491733054e+01 4.009972485525153729e+00
4.998125898021064586e+02 1.867224779674774737e+01 4.250490571375695303e+00
5.000780604725723606e+02 1.850668630616139865e+01 4.262275126671337233e+00
4.999359888957913540e+02 1.981518752709768094e+01 4.227468097699986771e+00
5.003170779061670714e+02 1.952060146143033137e+01 4.368129594081905154e+00
5.000201285656614800e+02 1.994188173143313847e+01 4.037217326976716869e+00
4.997858406611693454e+02 1.978661181617841436e+01 4.214373895968758887e+00
5.001607047983125085e+02 1.937828849071420123e+01 4.474657907308269955e+00
4.998516568685766970e+02 1.954136263086485670e+01 4.334891663064817990e+00
5.002456118417320567e+02 1.927895025443734411e+01 4.168168847405882005e+00
4.999411082225432210e+02 2.079158178771551491e+01 4.122408903465624164e+00
5.000674217082604969e+02 1.919785775512428572e+01 3.862093057204840640e+00
5.002111430322296428e+02 1.938893836325593156e+01 4.423694249970190562e+00
4.999675775293413267e+02 2.014027795231956475e+01 3.820919004989525192e+00
4.999481594292387854e+02 1.906624265184813538e+01 4.088444129836112495e+00
4.998425811656044289e+02 1.918120985089658959e+01 4.002123135027517264e+00
5.000946960167791531e+02 1.999335209023037407e+01 3.947869953784886921e+00
4.998848216200266847e+02 2.002333817422876905e+01 4.121176409024104537e+00
5.000585961493783316e+02 1.908416585891361095e+01 4.264197667738796049e+00
5.000816320228882432e+02 2.113145928028208687e+01 4.070330785824976871e+00
4.997675999149578843e+02 1.828762729591037228e+01 4.338271357854474708e+00
5.000472603087806078e+02 2.000811764491709255e+01 3.984750375586703974e+00
