logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -4.230920554905119934e+05 -4.230980482047986588e+05 nan
-4.230980482047986588e+05 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.806461954126650380e+04 -4.807061475555319339e+04 nan
-4.807061475555319339e+04 nan -5.000000000000000104e-03 4.000000000000000000e+02 -3.311406723716446140e+04 -3.312006495145115332e+04 nan
-3.312006495145115332e+04 nan -7.499999999999999722e-03 4.000000000000000000e+02 -2.736829386504071954e+04 -2.737429407932741015e+04 nan
-2.737429407932741015e+04 1.089666043343243364e+05 -1.000000000000000021e-02 4.000000000000000000e+02 -2.107054239320855413e+04 -2.107654510749524707e+04 nan
-2.107654510749524707e+04 1.098360920679916890e+05 -1.250000000000000069e-02 4.000000000000000000e+02 -1.916191731516754226e+04 -1.916792252945423388e+04 nan
-1.916792252945423388e+04 1.112690468125675688e+05 -1.500000000000000118e-02 4.000000000000000000e+02 -1.674769176654524199e+04 -1.675369948083193231e+04 nan
-1.675369948083193231e+04 1.118964976390492229e+05 -1.750000000000000167e-02 4.000000000000000000e+02 -9.882624960090459354e+03 -9.888635174377150179e+03 nan
-9.888635174377150179e+03 2.558160477535537666e+03 -2.000000000000000042e-02 4.000000000000000000e+02 -9.260797736636493937e+03 -9.266810450923185272e+03 nan
-9.266810450923185272e+03 2.027251559749183571e+03 -2.249999999999999917e-02 4.000000000000000000e+02 -8.801059378067857324e+03 -8.807074592354549168e+03 nan
-8.807074592354549168e+03 2.143068957592651259e+03 -2.499999999999999792e-02 4.000000000000000000e+02 -8.410464097436379234e+03 -8.416481811723069768e+03 nan
-8.416481811723069768e+03 4.564899897507360151e+02 -2.749999999999999667e-02 4.000000000000000000e+02 -7.419541835592508505e+03 -7.425562049879199549e+03 nan
-7.425562049879199549e+03 6.403986047014528822e+02 -2.999999999999999542e-02 4.000000000000000000e+02 -6.990566914011506924e+03 -6.996589628298198477e+03 nan
-6.996589628298198477e+03 4.010631561305972923e+02 -3.249999999999999417e-02 4.000000000000000000e+02 -6.155739114558251458e+03 -6.161764328844942611e+03 nan
-6.161764328844942611e+03 6.924113452652129581e+02 -3.499999999999999639e-02 4.000000000000000000e+02 -5.462343153194594379e+03 -5.468370867481286041e+03 nan
-5.468370867481286041e+03 4.481234595627707904e+02 -3.749999999999999861e-02 4.000000000000000000e+02 -5.331164695403669612e+03 -5.337194909690360873e+03 nan
-5.337194909690360873e+03 4.897279397513724319e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -5.192415302165653884e+03 -5.198448016452344746e+03 nan
-5.198448016452344746e+03 8.773496156678949376e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -4.958968796251181629e+03 -4.965004010537873000e+03 nan
-4.965004010537873000e+03 6.465065404285144268e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -4.721893375597039267e+03 -4.727931089883730237e+03 nan
-4.727931089883730237e+03 1.181186938037359795e+02 -4.750000000000000749e-02 4.000000000000000000e+02 -4.280684295186118106e+03 -4.286724509472809586e+03 nan
-4.286724509472809586e+03 2.652269399672152872e+02 -5.000000000000000971e-02 4.000000000000000000e+02 -3.544025372116379003e+03 -3.550068086403070538e+03 nan
-3.550068086403070538e+03 3.185748221005756591e+02 -5.250000000000001193e-02 4.000000000000000000e+02 -3.457604917840621965e+03 -3.463650132127313100e+03 nan
-3.463650132127313100e+03 2.236581985783039386e+02 -5.500000000000001416e-02 4.000000000000000000e+02 -3.409248044005913471e+03 -3.415295758292604660e+03 nan
-3.415295758292604660e+03 2.349837079731573795e+02 -5.750000000000001638e-02 4.000000000000000000e+02 -3.293191641728988543e+03 -3.299241856015679787e+03 nan
-3.299241856015679787e+03 8.216447827577222540e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -3.210912753702568352e+03 -3.216965467989259650e+03 nan
-3.216965467989259650e+03 3.184072164042695263e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -3.167227420071635606e+03 -3.173282634358326959e+03 nan
-3.173282634358326959e+03 1.870056283019031440e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -3.124766399463076141e+03 -3.130824113749767548e+03 nan
-3.130824113749767548e+03 2.841147816891608002e+01 -6.750000000000001832e-02 4.000000000000000000e+02 -2.954007251283192545e+03 -2.960067465569884007e+03 nan
-2.960067465569884007e+03 6.352436531955986965e+01 -7.000000000000002054e-02 4.000000000000000000e+02 -2.840522064387317187e+03 -2.846584778674008703e+03 nan
-2.846584778674008703e+03 9.524480944249840775e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -2.628863347451701429e+03 -2.634928561738392546e+03 nan
-2.634928561738392546e+03 1.028436170793401487e+02 -7.500000000000002498e-02 4.000000000000000000e+02 -2.525590335258392770e+03 -2.531658049545083941e+03 nan
-2.531658049545083941e+03 1.187938809790189225e+02 -7.750000000000002720e-02 4.000000000000000000e+02 -2.504240226429502854e+03 -2.510310440716194080e+03 nan
-2.510310440715658387e+03 3.375405597425829995e+01 -8.000000000000002942e-02 4.000000000000000000e+02 -2.063296142440463882e+03 -2.069368856727155162e+03 nan
-2.069368856727155162e+03 2.132448496256565136e+02 -8.250000000000003164e-02 4.000000000000000000e+02 -1.928929945211231143e+03 -1.935005159497922477e+03 nan
-1.935005159497922477e+03 2.148353194717411441e+02 -8.500000000000003386e-02 4.000000000000000000e+02 -1.904914302344445332e+03 -1.910992016631136721e+03 nan
-1.910992016631099432e+03 4.358931500482358246e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -1.864237766105015453e+03 -1.870317980391706669e+03 nan
-1.870317980391706669e+03 2.141083322682965928e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -1.852596212574166429e+03 -1.858678926860857700e+03 nan
