amplitude offset frequency phase
1.768813572447013094e+00 1.942332330676954655e-01 3.197680915986109262e+00 1.046773851532814881e+00
1.777837602863152844e+00 1.914951533997086841e-01 3.200989628692274103e+00 9.932146363906617648e-01
1.793187285755908356e+00 2.171989755700738378e-01 3.199522740159531420e+00 1.021026397310578204e+00
1.761348600009061682e+00 2.054277962460546725e-01 3.190525832810216400e+00 1.013566257672888327e+00
1.818123767462671347e+00 1.839447692645026500e-01 3.183876211637961084e+00 1.052634303283612294e+00
1.778547861865393820e+00 2.003902387798222051e-01 3.186034525458402378e+00 1.051542493175564807e+00
1.747101865021433165e+00 2.063576009477992024e-01 3.203091988307589233e+00 9.935374528164049313e-01
1.741223558295994067e+00 2.166402588444085175e-01 3.183095740173560451e+00 1.088728349978295595e+00
1.780304941257290885e+00 1.902161866016638392e-01 3.199147096022204817e+00 9.979815543830461433e-01
1.758636115900321650e+00 1.999545208161008780e-01 3.204020570676379798e+00 9.838803591256946035e-01
1.779857950387957688e+00 1.991831528601606394e-01 3.192774208094368849e+00 1.019097306106094170e+00
1.778946703154888453e+00 2.063916936438903171e-01 3.191099328951110703e+00 1.025602810002853138e+00
1.763398699262936020e+00 2.279063627166837414e-01 3.191109790142738323e+00 1.034022905718160024e+00
1.748894636862798446e+00 2.249434491413047077e-01 3.196799344618285410e+00 1.026976993556774520e+00
1.800659535832140445e+00 1.999950607958589366e-01 3.194877945032565947e+00 1.009196356947713147e+00
1.747101865021433165e+00 2.063576009477992024e-01 3.203091988307589233e+00 9.935374528164049313e-01
1.734734862578168890e+00 1.986130969851989114e-01 3.209525194121817471e+00 1.005648404316350497e+00
1.761348600009061682e+00 2.054277962460546725e-01 3.190525832810216400e+00 1.013566257672888327e+00
1.776125759075065647e+00 2.035729951882205846e-01 3.191246790382651799e+00 1.034338524369505574e+00
1.767869981087871523e+00 1.797745691553038760e-01 3.190206635968221072e+00 1.042109462568574063e+00
1.762479527333848939e+00 1.904520407961238782e-01 3.191423873699966052e+00 1.018684081510947026e+00
1.774392732617838142e+00 1.939741165312587334e-01 3.199591846230132930e+00 1.030700269388238111e+00
1.776118836035108783e+00 1.950773934341643034e-01 3.197188402066163171e+00 1.005871478621698012e+00
1.738124521766112318e+00 2.102479863616228961e-01 3.192059864172988259e+00 1.024014117706507410e+00
1.758705759334986185e+00 2.006623461412564424e-01 3.177116091262025321e+00 1.100633706412713630e+00
1.803785245821411642e+00 1.988607147811607412e-01 3.197259138180201798e+00 1.013803049924035804e+00
1.776233820172675726e+00 2.203680941355088407e-01 3.203156838936923378e+00 1.019518355244804608e+00
1.776058168301143603e+00 1.906101367874839525e-01 3.199519528427824611e+00 1.009925346242647182e+00
1.786182890717830096e+00 1.871438207944451371e-01 3.206302187452609864e+00 9.957151318889699843e-01
1.767099431384467678e+00 2.307772927527529383e-01 3.188139226676622862e+00 1.039927436109755687e+00
1.796931301335319642e+00 1.881696869478206580e-01 3.189497819556395886e+00 1.028894190298194733e+00
1.754861049221172475e+00 2.385341893944810110e-01 3.196577045272816608e+00 1.014732558056133271e+00
1.737813854113043899e+00 2.030743739711846629e-01 3.199438484963163631e+00 1.001169181769484329e+00
1.750526152024065363e+00 2.345577964332505871e-01 3.181033274034775538e+00 1.063723747167930611e+00
1.773700131457473184e+00 2.135183584815716351e-01 3.192729091780765582e+00 1.020559673805259360e+00
1.756725366653085763e+00 1.926620097271491971e-01 3.182877005370414292e+00 1.048218497991808995e+00
1.761982999522855531e+00 2.007078311442631602e-01 3.177766337398837848e+00 1.089156754192399656e+00
1.772493590838261746e+00 1.885734496535484972e-01 3.186730941159226838e+00 1.032649366661374524e+00
1.808159255167123503e+00 1.999913911993962401e-01 3.203785988137394014e+00 9.917021744522632742e-01
1.786426888976644367e+00 1.931000718731552546e-01 3.196013357177585057e+00 1.036326462303737372e+00
1.753109266180798098e+00 1.721418076616987314e-01 3.201778803805417351e+00 1.003365277938391031e+00
1.775277073774258474e+00 1.794512226134661326e-01 3.203085163322507700e+00 1.017230286569534847e+00
1.798523622449018866e+00 2.052222664007961050e-01 3.205667494309813126e+00 9.617250827943419900e-01
1.816547413040827230e+00 2.254511728836634532e-01 3.191929165679834313e+00 1.016119627042266105e+00
1.765386949267936156e+00 2.177872426094515923e-01 3.182192191411505888e+00 1.077762899289271159e+00
1.817070729943872198e+00 1.995890250561953572e-01 3.189205674517680222e+00 1.040404545976617134e+00
1.800011515318227451e+00 1.929753709861574684e-01 3.191205158426229094e+00 1.030665392623957288e+00
1.785620057540799888e+00 1.703922879337231855e-01 3.196268317149307592e+00 1.031511549133961703e+00
1.784560909635102721e+00 2.292194817367381177e-01 3.205081956784220587e+00 9.947822238104684356e-01
1.769512159760976200e+00 2.118621294191780358e-01 3.193424872943192661e+00 1.031206531922298719e+00
1.759500106977576195e+00 1.848592177541594772e-01 3.195154553760942928e+00 1.038209504798587979e+00
1.764500499671523004e+00 1.862028970673561545e-01 3.179984307328779902e+00 1.081860220952592044e+00
1.816547413040827230e+00 2.254511728836634532e-01 3.191929165679834313e+00 1.016119627042266105e+00
1.779657237910360346e+00 2.160689801928481479e-01 3.180039794974571787e+00 1.062983257094267886e+00
1.760397343799547709e+00 2.108629712602296813e-01 3.206916442238072040e+00 9.674751152058196357e-01
1.762091084947807307e+00 1.924154169344718390e-01 3.187117590005733803e+00 1.028042031175323112e+00
1.764750669822141349e+00 2.015514077562445827e-01 3.195323454168376820e+00 1.006506070214210791e+00
1.785852203967381868e+00 2.106636690764847053e-01 3.191916630466488325e+00 1.042943423890172028e+00
1.763712909892584779e+00 2.457405259775193862e-01 3.181254502518251925e+00 1.068621524902951592e+00
1.770500030326274565e+00 2.096572511937249139e-01 3.189043301875936098e+00 1.064072883797331670e+00
1.747614546694914228e+00 1.784259683108095906e-01 3.201817875302459093e+00 9.850916129275391064e-01
1.768262184274905557e+00 2.234847552647445390e-01 3.193332894337354233e+00 1.020608867228401717e+00
1.708301134812450828e+00 2.189365461987344830e-01 3.181634164934583620e+00 1.023728349037408947e+00
1.742927660601386597e+00 2.089886457822220933e-01 3.185379101353182918e+00 1.050850888685052720e+00
1.777140132139181095e+00 2.148185619144693526e-01 3.200318868612678447e+00 1.011989711517716550e+00
1.746933834981645672e+00 1.869430629899433427e-01 3.206023364524686947e+00 9.716061747493907053e-01
1.772628140688586207e+00 2.176555634099610614e-01 3.188885142047747312e+00 1.036527520486966836e+00
1.762221154503867071e+00 2.040255794886989271e-01 3.198845218703981086e+00 1.036399406291119263e+00
1.759524280139949770e+00 1.900602399771273987e-01 3.191834295546384315e+00 1.024963332476033218e+00
1.738807005570159658e+00 2.147955519310142947e-01 3.199421817040448701e+00 9.981370901655012284e-01
1.754947523425006706e+00 1.930687622705575812e-01 3.185266285133889319e+00 1.059934601100106955e+00
1.758352551834049038e+00 1.838662346977120166e-01 3.204719095116380423e+00 9.841176003671112671e-01
1.794901241527065761e+00 2.094067959493908226e-01 3.189037354626730103e+00 1.023832508003857500e+00
1.791177021654312806e+00 2.003681200073450519e-01 3.200691511760001440e+00 9.960083746250856240e-01
1.757194653354537062e+00 2.056951472083605736e-01 3.199501239481866044e+00 1.010491542302834000e+00
1.751382261037006227e+00 2.133404281421320547e-01 3.204045064769556639e+00 9.961617864495865282e-01
1.756828076890403878e+00 2.288687376515810001e-01 3.191898555847755503e+00 1.021435421829819612e+00
1.789277697965171221e+00 2.176734913575635311e-01 3.185098945665596926e+00 1.047173315518532988e+00
1.762716185912734934e+00 1.832584457046912974e-01 3.203985606618348747e+00 1.000787017857736938e+00
1.750956319052104249e+00 1.907319622836340933e-01 3.189976974910443630e+00 1.043228289965716815e+00
1.759799142374935954e+00 2.163704286253462783e-01 3.200013032280321745e+00 1.006820323901008507e+00
1.762122705600170924e+00 2.026213989563725448e-01 3.196974915858015631e+00 1.022637804758061986e+00
1.765442467497895018e+00 1.986997248091704193e-01 3.186822382046222035e+00 1.026200866217120033e+00
1.781850068627856665e+00 1.667836251237990730e-01 3.198662336606110657e+00 1.005504478594317463e+00
1.732883466011246654e+00 2.123176578678465098e-01 3.206043488033182065e+00 9.979252982104064307e-01
1.784405961749224723e+00 1.864764441801285422e-01 3.199958818703126706e+00 9.913147877645890338e-01
1.749360753410474034e+00 2.110132189978188855e-01 3.191896357528167805e+00 1.043570238646306603e+00
1.761548901802689526e+00 2.235086744062999564e-01 3.180861158993464777e+00 1.078204850301386575e+00
1.770405340672056571e+00 2.305795260099192667e-01 3.198092726379273554e+00 1.021673537888214467e+00
1.772163116601475075e+00 2.082706618254697162e-01 3.201730143983893218e+00 9.979286334426470395e-01
1.797114286145945705e+00 2.190269916919538318e-01 3.195317648982377801e+00 1.027546949119368946e+00
1.739811174048909725e+00 2.199428981040023601e-01 3.193950408447575384e+00 1.022137009255172257e+00
1.784249233619469521e+00 2.092896610912995392e-01 3.197860364916873088e+00 1.003592847805371502e+00
1.767061291894093333e+00 2.137606245768632895e-01 3.180699413733868663e+00 1.056491597438564911e+00
1.736225436167646352e+00 2.126163690159370567e-01 3.187579381237639620e+00 1.041914873901414573e+00
1.796342176724709638e+00 2.307587480412816028e-01 3.205029650628635540e+00 9.998481183852048204e-01
1.795668192005763997e+00 1.982894407691926375e-01 3.183817297548356517e+00 1.052087485452488425e+00
1.734948235213220613e+00 1.976809339661440568e-01 3.194868963508150639e+00 1.000672435201597876e+00
1.744393195877214531e+00 2.124536394250573501e-01 3.189596617764424380e+00 1.039053972278498605e+00
1.737115693417649709e+00 1.909893988532851417e-01 3.200637899776558548e+00 1.022578016346280316e+00
1.750193582908272427e+00 2.170768665405713449e-01 3.190420130115461994e+00 1.030769171922326422e+00
1.779898388453669433e+00 2.210268124975138804e-01 3.182964836166425115e+00 1.075636317903832184e+00
1.776795718555028936e+00 2.009658400795437672e-01 3.186772710750401583e+00 1.073885827737260934e+00
1.788125658664333484e+00 2.045408019842631653e-01 3.193206224660687820e+00 9.958841407856026118e-01
1.757354915757060265e+00 2.176049101154933219e-01 3.182621015757810756e+00 1.068351865430174907e+00
1.751444912228792283e+00 2.033217533471609606e-01 3.180606222066534539e+00 1.052368585802496925e+00
1.758467134999212256e+00 1.818322522025073162e-01 3.181922853417595842e+00 1.036815388884297473e+00
1.755740613597921662e+00 2.011590032732355482e-01 3.197557500121058993e+00 1.016746736851645405e+00
1.773077986258644545e+00 1.874854550424163158e-01 3.201120846481093185e+00 9.884364839425130445e-01
1.781770772633715305e+00 2.183996193160435695e-01 3.207730881358325181e+00 9.837427602592304643e-01
1.780924720625027602e+00 1.975365575364738113e-01 3.204895431080920787e+00 9.931788002310140140e-01
1.794883915654896356e+00 2.202826409196640967e-01 3.196705826073023005e+00 1.010316530247172162e+00
1.806602955542571110e+00 2.210464548612245395e-01 3.184473846714498180e+00 1.062077735716994598e+00
1.761896449862334624e+00 1.958578345608854576e-01 3.209138520467169631e+00 9.796808308775323271e-01
1.758614672865670192e+00 2.262065700999245088e-01 3.191327930399789903e+00 1.030468558939108270e+00
1.776862624838554394e+00 2.093388496030930135e-01 3.182059611109705699e+00 1.051597527665497411e+00
1.749365135809478389e+00 2.051285660019814827e-01 3.193927879546883730e+00 1.035391790010161461e+00
1.768146225130425186e+00 2.006916288737095044e-01 3.201540775116801019e+00 1.034397701705293882e+00
1.751406823702245985e+00 2.359439210659397546e-01 3.192881207546497180e+00 1.020147509760580329e+00
1.773029615831799077e+00 1.887652071646845897e-01 3.201491432753552413e+00 1.014003990346639350e+00
1.776215218479053393e+00 2.159761943365534620e-01 3.179281173093631896e+00 1.074598758922053143e+00
1.762771997116552525e+00 1.896005148655062200e-01 3.186553161763853836e+00 1.042106635459749242e+00
1.750913099860169853e+00 1.825620677567383332e-01 3.201505030899689519e+00 1.031551499133183336e+00
1.785093126763975135e+00 1.959370227844279277e-01 3.186195574164099931e+00 1.061679936235145227e+00
1.788847850979443654e+00 2.139128726750709752e-01 3.191098144163879713e+00 1.019079533725318454e+00
1.740395557564313300e+00 2.098732465271613279e-01 3.190355053651629635e+00 1.032632179087934698e+00
1.788405649191805225e+00 1.823857903939853919e-01 3.188228005128284970e+00 1.031864708148732435e+00
1.769123762343304485e+00 1.839402008884949424e-01 3.184191130105786804e+00 1.069704845762434298e+00
1.796210262155935489e+00 1.716135754546952441e-01 3.207625698487166499e+00 9.570730159876074117e-01
1.769140228126043768e+00 1.997701678803305292e-01 3.189961459938778443e+00 1.051143833478280110e+00
1.758757571177096191e+00 2.240016867646557053e-01 3.198296052049859117e+00 1.020208020094831358e+00
1.748543219637686441e+00 1.965416302228844003e-01 3.185292112338398596e+00 1.051740192472331303e+00
1.747201464724349451e+00 2.117846585042331142e-01 3.194671965952945669e+00 1.036821162508860361e+00
1.762184606010350763e+00 2.139483266362303127e-01 3.183293477379891101e+00 1.049751243790866928e+00
1.725563804185883399e+00 1.902048895404919726e-01 3.196064221630940061e+00 1.015621158691393910e+00
1.725950144760404203e+00 1.826296715560871142e-01 3.197596391778762648e+00 1.026095249569263679e+00
1.796218023494974059e+00 1.906120181362802590e-01 3.195742713548064273e+00 1.013100393157718937e+00
1.770078276375765647e+00 1.918182207858305510e-01 3.189117783882811530e+00 1.030023681755384057e+00
1.768976470035721560e+00 2.024803595279047741e-01 3.198523834539453770e+00 9.996595980294987749e-01
1.761211517555649753e+00 2.051849951025275232e-01 3.198290791644294639e+00 1.015177092522977720e+00
1.750718876830370085e+00 2.037688839338174240e-01 3.205000530331191477e+00 9.951801873069120452e-01
1.737813854113043899e+00 2.030743739711846629e-01 3.199438484963163631e+00 1.001169181769484329e+00
1.794049316919105408e+00 1.996717556980960318e-01 3.188928358125716400e+00 1.048415553459887795e+00
1.781280695872526687e+00 2.073916247675171576e-01 3.191728340463894309e+00 1.024052033771746695e+00
1.743831255878668163e+00 1.710478978513734205e-01 3.197931003746188772e+00 1.001023894386325663e+00
1.739708876546647964e+00 2.223240972917897018e-01 3.188295636616880646e+00 1.036690241542238988e+00
1.762071619855559712e+00 1.937362873375803041e-01 3.186735759249247568e+00 1.049746511963324469e+00
1.768666037895818777e+00 1.722449485149475379e-01 3.197096062552722717e+00 9.969931691782285554e-01
1.758178529989892436e+00 1.948815030207562415e-01 3.194694750809903727e+00 1.016296854801561622e+00
1.728744198401783727e+00 1.916191707968741831e-01 3.202587730627558749e+00 1.002310980851196298e+00
1.767099431384467678e+00 2.307772927527529383e-01 3.188139226676622862e+00 1.039927436109755687e+00
1.750468201890312159e+00 1.845623632551625093e-01 3.201290965438682523e+00 9.990047107541298876e-01
1.771955268821960860e+00 2.024313225884655232e-01 3.190524521512228429e+00 1.020755565125491371e+00
1.775820365939239309e+00 1.944783594894876622e-01 3.187141683384488111e+00 1.043931245995565860e+00
1.784297269609351533e+00 2.261324334233805189e-01 3.193235896642690808e+00 1.052091505019847162e+00
1.777297600946757816e+00 1.906617268557759814e-01 3.196089551829491615e+00 1.008032081423201998e+00
1.742459426739416672e+00 2.130652196881754890e-01 3.190576120584174280e+00 1.015231895614631785e+00
1.731486174032702330e+00 1.933728839647455011e-01 3.200853546403854555e+00 1.005042351566427961e+00
1.788241903823934775e+00 1.832394718658534316e-01 3.186090783486643208e+00 1.065427124954481553e+00
1.783905841282864779e+00 1.853919197753435277e-01 3.181165408908502634e+00 1.084206727734209119e+00
1.809944959868713621e+00 1.926912185977460723e-01 3.200179923579640207e+00 1.013973825524886241e+00
1.763024363676764850e+00 1.975407779346771697e-01 3.191542720787700294e+00 1.012867626237070162e+00
1.773823085598586591e+00 1.904837444704754468e-01 3.203797946678868858e+00 9.767105567277756251e-01
