weight logl amplitude offset frequency phase
0.000000000000000000e+00 -4.791926441320337472e+04 8.954641906264095841e-01 7.837812632620622111e-04 2.157893011244449433e-02 4.342352953818656713e-01
0.000000000000000000e+00 -4.119437710740211332e+04 9.612719296721204953e-01 5.144669448274319379e-02 6.189984276154130161e-01 3.454342287717495630e-01
0.000000000000000000e+00 -3.924331457926160510e+04 9.910294621024495765e-01 8.587193210752730455e-02 2.801472529563125979e-01 8.083045649366387142e-01
0.000000000000000000e+00 -3.766865705836892448e+04 8.984329309056535706e-01 9.262481983897452587e-02 4.424205656839079737e-01 9.671682562811716455e-01
0.000000000000000000e+00 -3.728084601733673480e+04 9.963502950289693239e-01 1.144264233673881748e-01 8.022123836262754493e-01 3.508863683022303004e-01
0.000000000000000000e+00 -3.552978966568083706e+04 8.606002848721157061e-01 3.953385682918686417e-02 1.034221170664275657e-01 6.363990336764240308e-01
0.000000000000000000e+00 -3.508166748580768035e+04 9.875647425382024780e-01 7.330755748928241555e-02 6.256881902242226179e-01 9.102346983245745982e-03
0.000000000000000000e+00 -3.450979719259723061e+04 9.306163553360317087e-01 3.406446815119057447e-02 8.897872652903204838e-01 7.924592663978898832e-01
0.000000000000000000e+00 -3.406200870527509687e+04 9.938816175901831196e-01 9.925171065863612752e-01 9.840738594467964839e-01 4.293866007711636401e-01
0.000000000000000000e+00 -3.340582229324907530e+04 9.698933182080031745e-01 8.230381663406488579e-01 1.965510337276934472e-01 9.286301391812812334e-02
0.000000000000000000e+00 -3.322111854621524981e+04 9.544895959751649173e-01 9.455816457988145407e-01 1.978797633460396277e-01 7.462198141123116413e-01
0.000000000000000000e+00 -3.298334987194493442e+04 9.745875225424129873e-01 2.669240570804541912e-01 9.077807541386715418e-01 5.889893581560150526e-01
0.000000000000000000e+00 -3.284462745238512434e+04 9.857093514138384194e-01 2.112206902732908231e-01 7.908461582475767582e-02 6.390490796799863649e-01
0.000000000000000000e+00 -3.280718735141115758e+04 8.984969496732341243e-01 8.394243678544800469e-01 2.307077453189576577e-02 1.053443777531072323e-01
0.000000000000000000e+00 -3.201509088199758480e+04 7.308448806158557298e-01 9.244045532090721107e-01 8.692177785458388151e-03 2.214592007699411891e-02
0.000000000000000000e+00 -3.119467839022538101e+04 8.939660621256271256e-01 3.014936972480453115e-02 2.720188902740482417e-01 9.284433848455442284e-02
0.000000000000000000e+00 -3.117925260380859254e+04 9.643037304438961677e-01 2.776849827927652115e-01 9.579287793818774821e-01 4.540212935499716718e-01
0.000000000000000000e+00 -3.056204055258134758e+04 9.631224171338880202e-01 8.493289713019911424e-01 7.802509895281207752e-01 4.935546075328880455e-01
0.000000000000000000e+00 -3.048400347085662361e+04 6.750514875596314024e-01 1.615943789033585931e-01 4.436484819200507967e-01 7.602685149466202885e-01
0.000000000000000000e+00 -3.011220831323236052e+04 8.768562142761087141e-01 9.193110779787905251e-03 3.136981151999262973e-01 2.617242825738341772e-01
0.000000000000000000e+00 -2.981307040172767302e+04 5.301759640714955868e-01 3.039438838245489549e-02 5.442928146888704743e-01 5.567910222995500202e-01
0.000000000000000000e+00 -2.965150277960133099e+04 9.674431956800337851e-01 2.125792217497777248e-01 9.029952133487662014e-02 3.926267367607482184e-01
0.000000000000000000e+00 -2.958815467171352066e+04 8.869803556724413784e-01 7.219956113190616476e-01 5.850423153489308081e-01 2.678696756854637151e-01
0.000000000000000000e+00 -2.955903892847143288e+04 9.965840444234266293e-01 4.054220720554270185e-01 8.002245684711094542e-01 5.494846599684023447e-01
0.000000000000000000e+00 -2.942938885132430732e+04 8.869467253808880347e-01 4.903450116305274609e-01 4.149969611544884751e-01 3.877162488928465045e-02
0.000000000000000000e+00 -2.933542908424824054e+04 9.237683951553158357e-01 9.271650672045911312e-01 7.202824515448418286e-01 6.929644234201189912e-01
0.000000000000000000e+00 -2.907004933266163425e+04 7.729634139584465879e-01 5.282332535954942232e-01 5.052470949865460748e-01 7.334483602313136563e-01
0.000000000000000000e+00 -2.898451092787344533e+04 7.847842608718457180e-01 2.105342873801596681e-03 7.976560346725423134e-01 3.094521331162791711e-02
0.000000000000000000e+00 -2.870918011085904800e+04 7.788470205838703420e-01 8.512242905820979200e-01 3.560891429708834544e-03 8.525921348509091224e-01
0.000000000000000000e+00 -2.853970234357810841e+04 9.600466004083720861e-01 3.373962320027057427e-01 3.471598225645364799e-01 2.339435406734347023e-01
0.000000000000000000e+00 -2.851567227136079237e+04 8.482707008340129029e-01 8.948659863109235113e-01 5.479471804626739884e-01 6.956432745253918748e-01
0.000000000000000000e+00 -2.850276889287327504e+04 8.737865000723313846e-01 8.384850798086420642e-01 6.263317078583228170e-01 2.881773686574164994e-01
0.000000000000000000e+00 -2.849447368932749305e+04 9.365269421406731132e-01 1.562674955837874968e-01 8.806769834222009097e-01 2.702083609954475385e-02
0.000000000000000000e+00 -2.845800113299630539e+04 9.513736735659652499e-01 4.744677918848690945e-01 8.813662045093458852e-01 5.789365282186282879e-01
0.000000000000000000e+00 -2.834188637348842167e+04 6.268051376387030471e-01 1.961672446490561050e-01 5.399912018884883702e-01 5.956770888947411358e-01
0.000000000000000000e+00 -2.822302143947920922e+04 6.853715189870990265e-01 9.822959828804322946e-03 7.516684280371696003e-01 2.968539821411200208e-01
0.000000000000000000e+00 -2.811462689488811520e+04 9.521692604280111993e-01 3.557542800729850407e-01 3.355340565165680911e-01 4.892451723029157540e-01
0.000000000000000000e+00 -2.807487472345754213e+04 9.815926066993292398e-01 3.262758617101279013e-01 3.272297903074481429e-01 3.371897794627797262e-01
0.000000000000000000e+00 -2.790716060025093611e+04 9.142683868298833172e-01 9.483883930584259270e-01 1.015228154987695142e-01 7.823879702767033706e-02
0.000000000000000000e+00 -2.781200095588129625e+04 8.013261310217929534e-01 2.133260226322738484e-01 7.462045982523854981e-01 4.493766989272228729e-01
0.000000000000000000e+00 -2.780952659281429078e+04 9.050693341699150851e-01 9.135275874881930713e-01 6.608423984136656548e-01 3.465715560918560811e-01
0.000000000000000000e+00 -2.718070364595896172e+04 9.571925455339606037e-01 1.537373030433870635e-01 1.516998256434732850e-01 9.719171093435425846e-01
0.000000000000000000e+00 -2.708963072469388135e+04 9.698123207661371037e-01 6.571367850744723738e-01 4.173112009929881294e-01 1.257901792346972636e-01
0.000000000000000000e+00 -2.703096153574755590e+04 9.594703727816406014e-01 3.459181992157123187e-02 5.935247702906497613e-01 9.888504694426766273e-01
