logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -2.428416151068478484e+03 -2.434408865355169837e+03 5.649999999999999467e-01
-2.434408865355169837e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -2.226164107984761358e+03 -2.232159322271452766e+03 6.500000000000000222e-01
-2.232159322271452766e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -2.024215085315267743e+03 -2.030212799601958977e+03 1.849999999999999978e-01
-2.030212799601958977e+03 7.555871152210202979e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -1.977545327800851965e+03 -1.983545542087543254e+03 8.449999999999999734e-01
-1.983545542087543254e+03 6.784732306961312531e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -1.938667984994458038e+03 -1.944670699281149382e+03 1.110000000000000098e+00
-1.944670699281149382e+03 8.041902540108367248e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -1.908644852285495745e+03 -1.914650066572187143e+03 3.400000000000000244e-01
-1.914650066572187143e+03 8.801393550400810284e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -1.888956287962412489e+03 -1.894964002249103714e+03 1.560000000000000053e+00
-1.894964002246282462e+03 9.329511651128170513e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -1.853980974849224367e+03 -1.859991189135915647e+03 3.449999999999999734e-01
-1.859991189135915647e+03 1.289432954676048304e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.846318923989288805e+03 -1.852331638275980140e+03 1.725000000000000089e+00
-1.852331166867968932e+03 1.529558759323800032e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.833871022111491811e+03 -1.839886236398183200e+03 1.159999999999999920e+00
-1.839886232460556812e+03 7.075466171204040755e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -1.771636621981284861e+03 -1.777654336267976078e+03 4.949999999999999956e-01
-1.777654336267976078e+03 3.429934413374680702e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.751229139230410283e+03 -1.757249353517101554e+03 1.435000000000000053e+00
-1.757249353515726852e+03 3.370204340975676160e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.696675471407801524e+03 -1.702698185694492850e+03 7.700000000000000178e-01
-1.702698185694492850e+03 4.139346642553429945e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.680459574623729395e+03 -1.686484788910420775e+03 1.185000000000000053e+00
-1.686484788819510868e+03 2.480725559360300281e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.680302523209762967e+03 -1.686330237496454174e+03 1.049999999999999961e-01
-1.685711383180362191e+03 2.503247039728688961e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.641787309155529556e+03 -1.647817523442220818e+03 9.949999999999999956e-01
-1.647817523442220818e+03 1.862203147409248416e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -1.624525991379238349e+03 -1.630558705665929665e+03 5.100000000000000089e-01
-1.630558705633970931e+03 1.568899991011383044e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -1.613600869211855525e+03 -1.619636083498546895e+03 1.625000000000000000e+00
-1.619636065453352785e+03 1.036410475129524578e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -1.609525422106702536e+03 -1.615563136393393961e+03 7.399999999999999911e-01
