amplitude offset frequency phase
1.425941184304621023e+00 2.976769179365001960e-01 3.177129609179172753e+00 1.037628629656250911e+00
1.723789818649149375e+00 2.779304747847386459e-01 3.182017531283933831e+00 1.173083369064845893e+00
1.877458147402479627e+00 1.714951709499268340e-01 3.249011320839322092e+00 7.950315486067185411e-01
1.956057761983225340e+00 1.219635532166134517e-01 3.198651232173398196e+00 1.135439355285074559e+00
1.709753728809612960e+00 1.508674900439022082e-01 3.240910064451218542e+00 9.969809888273496457e-01
1.895470447052762353e+00 1.459512556218873769e-01 3.196544413138166174e+00 1.034950000856146968e+00
1.880063702713321350e+00 3.084871207510486713e-01 3.236631841883659710e+00 9.701124422963138816e-01
1.839058484026128149e+00 1.534469236932038960e-01 3.151390108726255246e+00 1.245177522776770740e+00
1.904653128589604894e+00 2.066308145521911221e-01 3.207937151807526366e+00 1.003626896033704474e+00
1.830725022017283043e+00 2.740823804102872074e-01 3.198850411670638216e+00 1.054203964269606830e+00
1.742597013622354529e+00 2.191668751654591851e-01 3.273642493316614832e+00 7.766786068825527467e-01
1.725964024646782224e+00 1.163084907216749286e-01 3.217056077854189677e+00 9.616907333834424643e-01
1.958020233520306741e+00 1.671086101112173594e-01 3.203905337070815484e+00 1.097647694592618794e+00
1.880282610286463596e+00 2.065601899664741836e-01 3.211440515880405577e+00 1.076999233084735108e+00
1.764634454783790884e+00 3.367200025285170817e-01 3.197064697780069853e+00 9.677641729413629657e-01
1.674776098675012204e+00 3.770179861733184978e-01 3.154915664099855466e+00 1.241890061887955365e+00
1.872751660405889584e+00 2.972080086907813445e-01 3.188664702887721525e+00 1.034197850702933019e+00
1.671917980785278424e+00 2.671834307432163769e-01 3.154224896731759209e+00 1.155998838150789743e+00
1.825151355862894897e+00 2.197186784926219438e-01 3.143612523548281690e+00 1.244082358770572716e+00
1.870906233049845158e+00 1.829356252386222792e-01 3.207731068475241365e+00 1.024642000950124476e+00
1.753417926643395131e+00 2.744291585492533159e-01 3.157721970783452736e+00 1.165267308644833744e+00
1.630867843194681033e+00 2.382604366296510179e-01 3.234051201727682123e+00 9.662596215805824285e-01
1.613987176890266717e+00 1.774471035836691080e-01 3.233101386954736256e+00 9.130000792716655988e-01
1.811952387266785980e+00 1.631722871151053411e-01 3.187386457822583896e+00 9.329441887964717850e-01
1.851076839449293576e+00 2.721404757966050525e-01 3.195888740964676789e+00 9.978138334742719939e-01
1.968096349848044158e+00 1.945503423263161835e-02 3.187147889977203441e+00 1.092142078664960492e+00
1.874734004097428297e+00 1.964151409811387694e-01 3.227996227067912116e+00 9.063365641735650069e-01
1.743627486707108654e+00 1.186704277030896648e-01 3.142407172274881422e+00 1.245674373888208786e+00
1.729287980804690594e+00 1.979217364306773419e-01 3.207202772202674801e+00 1.068189259118012657e+00
1.736577514147823909e+00 2.322025489899162132e-01 3.173854556914802671e+00 1.066406831313700287e+00
1.783777572018473423e+00 2.500674585399575989e-01 3.177197986781596928e+00 1.121681038058903068e+00
1.638986147739474930e+00 2.610749438653479082e-01 3.227402139214233578e+00 9.683964155018424114e-01
1.554976734448898945e+00 2.998230419585827811e-01 3.169456831413863362e+00 1.048991998065989417e+00
