amplitude offset frequency phase
1.747321564668080862e+00 1.825162543293683548e-01 3.182665247627690430e+00 9.869665523818712538e-01
1.763330436487605679e+00 2.132497816677125790e-01 3.196791597679183194e+00 9.871636863677847318e-01
1.765564728935920202e+00 1.513100552091017903e-01 3.211837535336857563e+00 9.442642143229451612e-01
1.722803245781352910e+00 1.946402277566945394e-01 3.207953365321430272e+00 9.875175010682936128e-01
1.777669982007540117e+00 2.286532054020686822e-01 3.191670610156886578e+00 1.026484240674528037e+00
1.621699432841974042e+00 2.441312172084360022e-01 3.195605112387460256e+00 9.534559277236184238e-01
1.787732694791959620e+00 1.549746021486653191e-01 3.178754831356838118e+00 1.083624288803203273e+00
1.748835207968690408e+00 2.453904043168764204e-01 3.250723833516317995e+00 8.562146576194067382e-01
1.870290072332960962e+00 1.489071099501066975e-01 3.183825787350556880e+00 1.066994694754553663e+00
1.873406335265187295e+00 1.263280545218234963e-01 3.165361586388105497e+00 1.106404620906397129e+00
1.798135356433054666e+00 1.548910925750273115e-01 3.221854250829264465e+00 8.691119710772566842e-01
1.777594751205978651e+00 1.739360486893883895e-01 3.176007374506717440e+00 1.046518337305923252e+00
1.774655761186601843e+00 9.856415503292703661e-02 3.220681493990453781e+00 1.024525944116332576e+00
1.708389693501361162e+00 1.355758776934643528e-01 3.185564770989482763e+00 1.069229939068448987e+00
1.731072870482547987e+00 1.505459280596292970e-01 3.172527049386643760e+00 1.102001716536803011e+00
1.864058519848568407e+00 1.590264705342097074e-01 3.150228647252033554e+00 1.161475252885496356e+00
1.686480831290039228e+00 1.974228284759385055e-01 3.165900968971711915e+00 1.110022769616772154e+00
1.789483368287040133e+00 1.534884824930764502e-01 3.172057955515506844e+00 1.053614974195215215e+00
1.934897746363380300e+00 1.676600115473445562e-01 3.175732091354301900e+00 1.098333227394473033e+00
1.729432800402544101e+00 1.977327274103886090e-01 3.215789600404755255e+00 1.012217856312040976e+00
1.789495799861790859e+00 1.503637913204136645e-01 3.175673902934421644e+00 1.056919854053653518e+00
1.798839386069166046e+00 1.734842944369048290e-01 3.168114185163965590e+00 1.092379280721008650e+00
1.685787703806508997e+00 1.715094018792573394e-01 3.130326334732560944e+00 1.158185140405594060e+00
1.751122003854402864e+00 2.090847482944182545e-01 3.147952672089270099e+00 1.157508623013876914e+00
1.776082083182770610e+00 1.253274147701817220e-01 3.202244959423711901e+00 9.652100479616427808e-01
1.617085394445371138e+00 1.953775366332850538e-01 3.174435071229485317e+00 1.109429131623446363e+00
1.840548236130825188e+00 2.428860186186874159e-01 3.179331019675023740e+00 9.904455262349375344e-01
1.820436297187653985e+00 1.721003032141905642e-01 3.184661575847632875e+00 1.025906462648785489e+00
1.806650429309748063e+00 1.232196244644057082e-01 3.194588276492764223e+00 1.000202359441588085e+00
1.748935391746268886e+00 1.614387650910402705e-01 3.215465512422138072e+00 9.518604480339860618e-01
1.930102656534172123e+00 1.392167411804550170e-01 3.171868203765288996e+00 1.062530367121492514e+00
1.828867321912569732e+00 2.037678639041553552e-01 3.194754213303324875e+00 9.790139644225491766e-01
1.799682418235557968e+00 1.209813051495576275e-01 3.217324201769046876e+00 9.378195628251937421e-01
1.691179728146249284e+00 1.875807419506085871e-01 3.199569099492693081e+00 9.733022129858174276e-01
1.850445869839702606e+00 1.747360510636966069e-01 3.208259297598540449e+00 9.327981304678815144e-01
1.805551702650514345e+00 1.389536429633424497e-01 3.178548141103385127e+00 1.092584760078503914e+00
1.696080731408800890e+00 1.680728395918613671e-01 3.198602410277573416e+00 9.924411845741135663e-01
1.712463899678150492e+00 2.527911054698357418e-01 3.191951150036102636e+00 9.802654448384766628e-01
1.849295193548650129e+00 1.542574108843539626e-01 3.181613463392620300e+00 1.009223448912594856e+00
1.769989417551856459e+00 1.794074295632293037e-01 3.187713280279547146e+00 9.827334993452125911e-01
1.829450162663962542e+00 1.207069710506885052e-01 3.166287625555840979e+00 1.043837718891757138e+00
1.751647683124357702e+00 1.377222139609415308e-01 3.231654030643205999e+00 9.568924245882618473e-01
1.638194750702414826e+00 1.606870544690011116e-01 3.187242202557903248e+00 1.063276688418646421e+00
1.780599560952492721e+00 1.877436663977962716e-01 3.188066755999503954e+00 1.106673859623050538e+00
1.766311482166365021e+00 1.852663098531261987e-01 3.198086681542925191e+00 9.863052836145125291e-01
1.855261889573480927e+00 1.396599385840109342e-01 3.192426714739530880e+00 9.694948355953092456e-01
1.699502574879548034e+00 1.726558378061215926e-01 3.178239662584502856e+00 1.105909027834145020e+00
1.831376078892298365e+00 1.917085714794839468e-01 3.211585590181718519e+00 1.051220209267595740e+00
1.914527098623674872e+00 2.478510228245633940e-01 3.189809191564992652e+00 1.053442730981580144e+00
1.794888553342779192e+00 1.896238619419348126e-01 3.151777671513239287e+00 1.180520387885646949e+00
1.742313597801730340e+00 1.577025514888092950e-01 3.170166028784049406e+00 1.157157146695038552e+00
1.808076329135350324e+00 2.003301258320906442e-01 3.168745008858388612e+00 1.123458400941074187e+00
1.886737103067005261e+00 1.801118807589054960e-01 3.182198141203520070e+00 1.084220324901701948e+00
1.717458321591910586e+00 1.981386468514338972e-01 3.192273922543609643e+00 1.028366734920935999e+00
1.874056017590461032e+00 1.594443294699439129e-01 3.184761144346353046e+00 1.068630014660380878e+00
1.799754526771734975e+00 3.114463320752820508e-01 3.149073504808056700e+00 1.091758732684576350e+00
1.871873081696721286e+00 1.240379126474646654e-01 3.198013829776705119e+00 1.037167345314866873e+00
1.723126643172632422e+00 1.962382022348267974e-01 3.179682801517160762e+00 1.119680742179406163e+00
1.759976603011331742e+00 1.641506713436626796e-01 3.176599810925432976e+00 1.028309331438830743e+00
1.694341039483060252e+00 1.920835320430214210e-01 3.183570117796173271e+00 1.059883365793989451e+00
1.709518169070840088e+00 2.218111672791120981e-01 3.223143314451900832e+00 8.785908981942345264e-01
1.738588532204565995e+00 2.027767504824784517e-01 3.214078655305967036e+00 9.024496006154900662e-01
1.835308413422445550e+00 1.667134197633375337e-01 3.178932943225081242e+00 1.096152308733655767e+00
1.854734162652328378e+00 2.167276935908128976e-01 3.134978487294505900e+00 1.199577893859350430e+00
1.733085805201006524e+00 1.874057023995323590e-01 3.192725864122112345e+00 9.870433429618556964e-01
1.800570555156092434e+00 2.557538463745654411e-01 3.204689471064654516e+00 9.547800300472624180e-01
1.798056013843605028e+00 2.058826353580425206e-01 3.212676965430475207e+00 9.844207167214797938e-01
1.597480642226704273e+00 2.144424609265866977e-01 3.179907640813651515e+00 1.065261239573108920e+00
1.717595038430252075e+00 2.057731798956723424e-01 3.170802691703785037e+00 1.101672878516261944e+00
1.763248915674742179e+00 1.658409267763358841e-01 3.182359850609281171e+00 1.013374740835525367e+00
1.717905513826367692e+00 1.282249931894119399e-01 3.154715857169236415e+00 1.100611387846001987e+00
1.747910325841989909e+00 1.197928278657225398e-01 3.195709451498701892e+00 1.056518099717090431e+00
1.781844618698149807e+00 1.626317805044092957e-01 3.195614095889903084e+00 1.033968407770028630e+00
1.675136208676064387e+00 6.790435444349451899e-02 3.195833418770090972e+00 9.678501241455990112e-01
1.724225067748892171e+00 1.111863791623557418e-01 3.193158460444569524e+00 1.059373181923711771e+00
1.752562604683224556e+00 2.260583450916953119e-01 3.161584778647686278e+00 1.130135644052797872e+00
1.723259832351363041e+00 1.492703107084270009e-01 3.196927326509430678e+00 1.038274320841732878e+00
1.850207034699262287e+00 1.742532330009107788e-01 3.192763999038283007e+00 1.024679605102325031e+00
1.738622256612337491e+00 1.995853994092988692e-01 3.171009947626199921e+00 1.068486198848625612e+00
1.875779389419009791e+00 1.090496839529979667e-01 3.192163357067934193e+00 9.647333732232201697e-01
1.697564389087946157e+00 7.952516431854617096e-02 3.161956385152626225e+00 1.150529562542095263e+00
1.594233532676148091e+00 2.100245564977747392e-01 3.159692208731002427e+00 1.084477151623521207e+00
1.579501532283719145e+00 2.536709973184989586e-01 3.193075193154904845e+00 9.765443983869848132e-01
1.750001932547178063e+00 1.924446565405446563e-01 3.183605413601371836e+00 1.077348066685564820e+00
1.756684909153576779e+00 1.793376781300417555e-01 3.205121858329587958e+00 9.731837242765306595e-01
1.832399483848907495e+00 1.274421025070000546e-01 3.195228426179812065e+00 1.053502439508585242e+00
1.707178604747704220e+00 1.155758826760666658e-01 3.210544269480425150e+00 1.009293730702699676e+00
1.788749524466382468e+00 1.825832652505345877e-01 3.215620864990671013e+00 9.396605870570070573e-01
1.761212780763433017e+00 1.759804060388745484e-01 3.187708292168457191e+00 1.068679952294516067e+00
1.690436540381470731e+00 1.746551336742876437e-01 3.163255175658127083e+00 1.165897711221249633e+00
1.780844492671468604e+00 1.397244432202229270e-01 3.158834666600609964e+00 1.083081308403828213e+00
