logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -6.285921768954863182e+03 -6.291914483241554080e+03 2.500000000000000139e-02
-6.291914483241554080e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -5.103022348725410666e+03 -5.109017563012102073e+03 1.790000000000000036e+00
-5.109017563012102073e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -4.554554348593003851e+03 -4.560552062879694859e+03 1.120000000000000107e+00
-4.560552062879694859e+03 4.960691380967349460e+02 -7.499999999999999722e-03 4.000000000000000000e+02 -4.387894013375506802e+03 -4.393894227662198318e+03 1.834999999999999964e+00
-4.393894227662198318e+03 1.965852256894519030e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -4.369188778957079194e+03 -4.375191493243770310e+03 1.245000000000000107e+00
-4.375191493236227871e+03 2.019728399240471504e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -4.300893134775093131e+03 -4.306898349061784756e+03 9.699999999999999734e-01
-4.306898349061784756e+03 2.938148243736053189e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -4.172468084077413550e+03 -4.178475798364104776e+03 1.459999999999999964e+00
-4.178475798364104776e+03 6.232203652023200391e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -4.166819269409988010e+03 -4.172829483696679745e+03 1.235000000000000098e+00
-4.172825959410368341e+03 3.082879314378427882e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -4.153328351926203140e+03 -4.159341066212894475e+03 5.500000000000000444e-01
-4.159341064821068358e+03 7.967897906923403717e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -4.084760522903313358e+03 -4.090775737190004747e+03 1.715000000000000080e+00
-4.090775737190004747e+03 3.540354977163356409e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -4.024556552783453299e+03 -4.030574267070144742e+03 1.400000000000000133e-01
-4.030574267070144742e+03 1.673851855927856391e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -3.942641599642767687e+03 -3.948661813929459186e+03 1.199999999999999956e+00
-3.948661813929459186e+03 3.537089118670438381e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -3.938624298838908999e+03 -3.944647013125600097e+03 8.599999999999999867e-01
-3.944629127482588046e+03 2.186949740627975647e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -3.891287302729480416e+03 -3.897312517016171569e+03 5.350000000000000311e-01
-3.897312517016171569e+03 2.268865048170972898e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -3.875414601788238087e+03 -3.881442316074929295e+03 6.450000000000000178e-01
-3.881442315946796953e+03 1.743713746866443515e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -3.872153699580539978e+03 -3.878183913867231240e+03 2.500000000000000139e-02
-3.878146184853937484e+03 5.937483761944738703e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -3.856764701714233524e+03 -3.862797416000924841e+03 1.439999999999999947e+00
-3.862797415785093563e+03 7.698738259917311311e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -3.659877099636246840e+03 -3.665912313922938210e+03 1.459999999999999964e+00
-3.665912313922938210e+03 1.022243351912500202e+02 -4.500000000000000527e-02 4.000000000000000000e+02 -3.612062400109248301e+03 -3.618100114395939727e+03 1.849999999999999978e-01
-3.618100114395939727e+03 9.521620638401635972e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -3.598446506288285946e+03 -3.604486720574977426e+03 4.000000000000000083e-02
-3.604486719350987187e+03 1.645614206743409369e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -3.577049084770093941e+03 -3.583091799056785476e+03 8.500000000000000611e-02
-3.583091799056274795e+03 1.123937252246632923e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -3.516685367851011961e+03 -3.522730582137703095e+03 5.100000000000000089e-01
-3.522730582137703095e+03 2.555941153287488987e+01 -5.500000000000001416e-02 4.000000000000000000e+02 -3.478992571379485071e+03 -3.485040285666176260e+03 7.650000000000000133e-01
-3.485040285666176260e+03 2.858494917507889710e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -3.443511279312399438e+03 -3.449561493599090682e+03 4.450000000000000067e-01
-3.449561493599090682e+03 1.789225207779558957e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -3.440452117173721490e+03 -3.446504831460412788e+03 1.645000000000000018e+00
-3.446458860063971770e+03 1.030018616851059399e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -3.431207302907195299e+03 -3.437262517193886652e+03 4.500000000000000111e-01
-3.437262415789435636e+03 4.919956304856144769e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -3.429087218741769448e+03 -3.435144933028460855e+03 5.150000000000000133e-01
-3.435031306032813518e+03 4.697345578607682981e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -3.428004688710409937e+03 -3.434064902997101399e+03 1.570000000000000062e+00
-3.433742494158459976e+03 1.607720072488394880e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -3.417518030934502804e+03 -3.423580745221194320e+03 1.114999999999999991e+00
-3.423580706602274404e+03 5.646754018622835325e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -3.410177737520995834e+03 -3.416242951807686950e+03 1.415000000000000036e+00
-3.416242301509766548e+03 5.548981197073582727e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -3.399667730008863145e+03 -3.405735444295554316e+03 7.900000000000000355e-01
-3.405735416947656176e+03 8.506605054102122310e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -3.391437763950929366e+03 -3.397507978237620591e+03 1.274999999999999911e+00
-3.397507711053435287e+03 7.739465815996166675e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -3.385915710506458254e+03 -3.391988424793149534e+03 1.064999999999999947e+00
-3.391984424098515774e+03 8.281731590828890432e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -3.366102730548161162e+03 -3.372177944834852497e+03 1.899999999999999911e+00
-3.372177944832351386e+03 1.639517469627535107e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -3.357628848290665246e+03 -3.363706562577356635e+03 1.760000000000000009e+00
-3.363706353223979477e+03 1.900550137540526663e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -3.305565492132382133e+03 -3.311645706419073576e+03 6.300000000000000044e-01
-3.311645706419073576e+03 2.539123013220539704e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -3.304746643145661437e+03 -3.310829357432352936e+03 7.500000000000000000e-01
-3.310463296840975545e+03 1.979583830115702980e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -3.299814679301201977e+03 -3.305899893587893075e+03 1.155000000000000027e+00
-3.305889521054667966e+03 2.961219710538386174e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -3.293497835305826356e+03 -3.299585549592517509e+03 8.000000000000000444e-01
-3.299583722236724952e+03 4.342345263490131835e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -3.261654847834522570e+03 -3.267745062121213778e+03 1.149999999999999911e+00
